ref,expression,full form,words,glosses,translation,comment,questionnaire
akan_1,ɛna,ɛna … (-sane) …,Susie yɛ dɔkota ɛna ɔ-sane yɛ ɔkyerɛkyerɛni,Susie is doctor CONN 3sg-ADD is ɔkyerɛkyerɛni,Susie is a doctor and she is a teacher.,,Q1
akan_2,ɛna,ɛna,Susie yɛ dɔkota ɛna ɔkyerɛkyerɛni,Susie is doctor CONN teacher,Susie is a doctor and she is a teacher.,,Q1
akan_3,∅,∅,Susie yɛ dɔkota ɔ-sane yɛ ɔkyerɛkyerɛni,Susie is doctor 3sg-ADD is teacher,Susie is a doctor; she is a teacher.,,Q1
akan_4,ɛna,ɛna,Paul re-hwɛ TV ɛna ɔ-re-to n’ataadeɛ,Paul ipfv-watch TV CONN 3sg-ipfv-iron poss.clothes,Paul is watching TV and he is ironing his shirts.,,Q1
akan_5,∅,∅,Paul re-hwɛ TV ɔ-sane re-to n’ataadeɛ,Paul ipfv-watch TV 3sg-ADD ipfv-iron poss.clothes,Paul is watching TV; he is ironing his shirts.,,Q1
akan_6,nanso,nanso,Susie yɛ dɔkota nanso a-hia no,Susie is doctor CONN pfv-poor s/he,Susie is a doctor but she is poor.,"“hia” can also mean “need”, also: E-hia me = “it matters to me”",Q1
akan_7,nanso,nanso,Jen tɔ-ɔ ice cream nanso ɔ-tɔ-maa obi a o-n-nim no,Jen buy-pst ice cream but 3sg-buy-”for” someone rel.marker 3sg-neg-know them,Jen bought ice cream but she bought it for a stranger.,,Q1
akan_8,(na) emom,(na) emom,Paul ɛn-yɛ dɔkota na emom ɔ-yɛ receptionist,P neg-be doctor CONN 3sg.be receptionist,Paul is not a doctor but he is a receptionist.,,Q1
akan_9,(na) emom,(na) emom,Paul ɛn-yɛ dɔkota emom ɔ-yɛ receptionist,P neg-be doctor CONN 3sg.be receptionist,Paul is not a doctor but he is a receptionist.,,Q1
akan_10,(na) emom,(na) emom,Jen a-n-tɔ ice cream naemom ɔ-tɔ-ɔ chocolate,Jen pfv-neg-buy ice cream CONN 3sg-buy-pst chocolate,Jen didn’t buy ice cream but she bought chocolate.,,Q1
akan_11,anaa,anaa,ansa no ɛ-yɛ A anaa ansa no ɛ-yɛ B?,answer det asp-be A CONN answer det asp-be B,(Either) the answer to the question is A or the answer to the question is B.,"Can be a statement or a question depending on intonation (tone?), (anaa) ansa no ɛ-yɛ A - question: “Is the answer A?”",Q1
akan_12,anaa,either sɛ … anaa sɛ,Either sɛ Paul ɛ-yɛ dɔkota anaa sɛ John ɛ-yɛ dɔkota,Either CONN Paul asp-be doctor CONN John asp-be doctor,(Either) Paul is a doctor or John is a doctor.,“Either” can be used in Akan as well,Q1
akan_13,anaa,either sɛ … anaa sɛ,sɛ Paul ɛ-yɛ dɔkota anaa sɛ John ɛ-yɛ dɔkota,CONN Paul asp-be doctor CONN John asp-be doctor,(Either) Paul is a doctor or John is a doctor.,,Q1
akan_14,anaa,anaa sɛ,Me-gya-a me phone no wɔ adwuma mu anaa sɛ me gya-a ɛmerɛ a me-re-kɔ efie no,1sg-leave-pst my phone det locative work in CONN I leave-pst at.the.time rel 1sg-ipfv-go house det,I left my phone at work or I dropped it on my way home.,... I left it at the time I went home.,Q1
akan_15,anaa,anaa sɛ,Me-gya-a me phone no wɔ adwuma mu anaa sɛ me gya-a ɛmerɛ a me-re-kɔ fie no,1sg-leave-pst my phone det locative work in CONN I leave-pst at.the.time rel 1sg-ipfv-go house det,I left my phone at work or I dropped it on my way home.,... I left it at the time I went home.,Q1
akan_16,anaa,anaa sɛ,John ɛ-yɛ dɔkota anaa sɛ ɔ-yɛ ɔ-twerɛtwerɛni,John asp-be doctor CONN 3sg-be 3sg-writer,John is a doctor or he is a writer.,,Q1
akan_17,anaa,anaa sɛ,"John ɛ-yɛ dɔkota anaa sɛ ɔ-yɛ ɔ-twerɛtwerɛni, ebia ɔ-yɛ nemmienu",John asp-be doctor CONN 3sg-be 3sg-writer maybe 3sg-be the.two,John is a doctor or he is a writer (maybe both).,,Q1
akan_18,anaa,anaa sɛ,Wo gya-a wo phone no ɛwɔ adwuma mu anaa sɛ wo-gya-a no wɔ bus no mu,2sg leave-pst your phone det loc work in CONN 2sg-leave-pst det loc bus det in,Did you leave your phone at work or did you leave it on the bus?,,Q1
akan_19,anaa,anaa sɛ,Wo gya-a wo phone no ɛwɔ adwuma mu anaa sɛ wo-gya-a no wɔ lɔre no mu,2sg leave-pst your phone det loc work in CONN 2sg-leave-pst det loc bus det in,Did you leave your phone at work or did you leave it on the bus?,,Q1
akan_20,anaa,anaa sɛ,Wo nim sɛ shop A tɔn saa brand wei bi anaa sɛ shop B tɔn saa brand wei bi,2sg know comp shop A sell ? brand this some CONN shop B sell ….,Would Shop A sell this brand or would Shop B sell this brand?,Translated as “Do you know whether shop A sells this brand or shop B sells this brand?”,Q1
akan_21,anaa,anaa sɛ,Wo nim sɛ shop A tɔn brand wei bi anaa sɛ shop B tɔn saa brand wei bi,2sg know comp shop A sell brand this some CONN shop B sell ….,Would Shop A sell this brand or would Shop B sell this brand?,Translated as “Do you know whether shop A sells this brand or shop B sells this brand?”,Q1
akan_22,anaa,anaa sɛ,Wo nim sɛ shop A anaa sɛ shop B tɔn saa brand wei bi.,2sg know comp shop A CONN shop B sell saa brand wei bi.,Would Shop A sell this brand or would Shop B sell this brand?,shorter version,Q1
akan_23,anaa,-n- … anaa sɛ …,Paul ɛ -n -yɛ dɔkota anaa sɛ nurse ni,Paul asp- neg -be doctor CONN nurse,Paul is neither a doctor nor is he a nurse.,,Q1
