ref,expression,full form,words,gloss,translation,comment,questionnaire
chinese-con-1,erqie,erqie + (hai/ye),Suxi shi yiming yisheng erqie ta hai shi yiming laoshi,Susie is one.CL doctor and she HAI(also) is one.CL teacher,Susie is a doctor and she is a teacher.,"It is not very natural to use the connective, better with juxtaposition",1
chinese-con-2,bingqie,bingqie + (hai/ye),Suxi shi yiming yisheng bingqie ta hai shi yiming laoshi,Susie is one.CL doctor and she HAI(also) is one.CL teacher,Susie is a doctor and she is a teacher.,"It is not very natural to use the connective, better with juxtaposition",1
chinese-con-3,hai,ø + hai,Suxi shi yiming yisheng. Ta hai shi yiming laoshi,Susie is one.CL doctor. She HAI(also) is one.CL teacher,Susie is a doctor; she is a teacher.,,1
chinese-con-4,∅,∅,Suxi shi yiming yisheng. Ta shi yiming laoshi,Susie is one.CL doctor. She is one.CL teacher,Susie is a doctor; she is a teacher.,bad without “hai”,2
chinese-con-5,bingqie,bingqie + (hai/ye),Baoluo zai kan dianshi bingqie ta zai tang tade chenyi,Paul ZAI watch TV AND he ZAI iron his shirts,Paul is watching TV and he is ironing his shirts.,it’s quite a bit unnatural,1
chinese-con-6,bingqie,bingqie + (hai/ye),Baoluo zai kan dianshi bingqie ta ye zai tang tade chenyi,Paul ZAI watch TV AND he YE(additive particle) ZAI iron his shirts,Paul is watching TV and he is ironing his shirts.,better with the additive particle “ye”,1
chinese-con-7,yucitongshi,(bingqie) yucitongshi,Baoluo zai kan dianshi yucitongshi ta hai zai tang tade chenyi,Paul ZAI watch TV at.the.same.time he HAI ZAI iron his shirts,Paul is watching TV and he is ironing his shirts.,Yucitongshi: at the same time,1
chinese-con-8,yucitongshi,(bingqie) yucitongshi,Baoluo zai kan dianshi bingqie yucitongshi ta hai zai tang tade chenyi,Paul ZAI watch TV and at.the.same.time he HAI ZAI iron his shirts,Paul is watching TV and he is ironing his shirts.,Yucitongshi: at the same time,1
chinese-con-9,∅,∅,Baoluo zai kan dianshi. Ta ye zai tang tade chenyi,Paul ZAI watch TV. He YE/HAI ZAI iron his shirts,Paul is watching TV; he is ironing his shirts.,,1
chinese-con-10,∅,∅,Baoluo zai kan dianshi. Ta hai zai tang tade chenyi,Paul ZAI watch TV. He YE/HAI ZAI iron his shirts,Paul is watching TV; he is ironing his shirts.,,1
chinese-con-11,∅,∅,Baoluo zai kan dianshi. Yucitongshi ta hai zai tang tade chenyi,Paul ZAI watch TV. At.the.same.time he HAI/YE ZAI iron his shirts,Paul is watching TV; he is ironing his shirts.,,1
chinese-con-12,∅,∅,Baoluo zai kan dianshi. Yucitongshi ta ye zai tang tade chenyi,Paul ZAI watch TV. At.the.same.time he HAI/YE ZAI iron his shirts,Paul is watching TV; he is ironing his shirts.,,1
chinese-con-13,danshi,danshi,Suxi shi yiming yisheng danshi ta hen qiong,Susie is one.CL doctor but she very/pos poor,Susie is a doctor but she is poor.,,1
