ref,context,target,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,questionnaire
conj-nocontrast-sta,"Susie works as a doctor in a hospital. In her spare time, she gives classes at the local college.",Susie is a doctor X she is a teacher.,1,0,0,1,0,1,0,0,1
conj-nocontrast-epi,"Paul needs to do some ironing, but he finds it boring, so he turns on the TV to watch his favourite program while he irons.",Paul is watching TV X he is ironing his shirts.,1,0,0,0,0,1,0,0,1
conj-contrast-sta,"Susie works as a doctor. She mainly treats patients who cannot pay for their treatment, so Susie earns much less money than other doctors.",Susie is a doctor X she is poor.,1,0,1,1,0,1,0,0,1
conj-contrast-sta-mod,"You live in a place where doctors are wealthy. Susie works as a doctor. She mainly treats patients who cannot pay for their treatment, so Susie earns much less money than other doctors do. You tell your friend about Susie:",Susie is a doctor X she is poor.,1,0,1,1,0,1,0,0,1
conj-contrast-epi,"Jen bought a big ice cream cone. Instead of eating it herself though, she gave it to a sad-looking stranger who was sitting by himself on a bench.",Jen bought ice cream X she bought it for a stranger.,1,0,1,0,0,1,0,0,1
conj-contrast-negp-sta,"Paul told his grandmother that he works in a hospital and now his grandma tells everyone that Paul is a doctor. But this is not true, Paul actually works at the reception!",Paul is not a doctor X he is a receptionist.,1,0,1,1,1,1,0,0,1
conj-contrast-negp-epi,"Jen was planning to buy herself some ice cream after work, but the store was all out of ice cream! So Jen decided to buy some chocolate instead.",Jen didn’t buy ice cream X she bought chocolate.,1,0,1,0,1,1,0,0,1
disj-spk-1,"On a multiple choice maths test, it asks “5x5” and lists two options (A) 24 and (B) 25. The teacher says the student:","The answer to the question is A X the answer to the question is B.
",0,0,,1,0,1,0,0,1
disj-spk-2,"You and your friend are playing a game guessing the jobs of Paul and John. She can’t think of the answer, and she asks you for a hint. You know that Paul is a doctor, and that John used to be a doctor but is not anymore. So you say:",Paul is a doctor X John is a doctor.,0,0,,1,0,1,0,0,1
disj-nspk-epi,You have lost your phone. You remember it at your work office desk before cycling home. ,I left my phone at work X dropped it on my way home.,0,0,1,0,0,0,0,0,1
disj-nspk-sta-exc,"John used to be a doctor and a professional writer, but he recently quit (only) one of the professions. You don’t know which profession he quit.",John is a doctor X he is a writer now.,0,0,,1,0,0,0,0,1
disj-nspk-sta-exc-mod,"Your friend asks you what John’s job is. As far as you know, John might be a doctor. You’re not sure, though. It’s also possible that he’s a writer.",John is a doctor X he is a writer,0,0,,1,0,0,0,0,1
disj-nspk-sta-inc,"John used to be a doctor and a professional writer, but he might have quit one of the professions. You’re not sure though, he might be a doctor now, he might be a writer, he might also be both. Your friend asks you what John does for a living, you say:","John is a doctor X he is a writer (maybe both).
",?,0,,1,0,0,0,0,1
disj-nspk-sta-inc-mod,"Your friend asks you what John’s job is. You’re not sure: he might be a doctor, he might be a writer, he might also be both. You say:","John is a doctor X he is a writer (maybe both).
",?,0,,1,0,0,0,0,1
disj-nspk-epi-q,"You have lost your phone. You tell a friend that you remember having it last either on the bus coming home from work, or at your work office desk. Your friend asks you:",Did you leave your phone at work X did you leave it on the bus?,0,0,1,0,0,0,1,0,1
disj-nspk-epi-q-mod,"You come home from work and realise that you have lost your phone. You tell your friend, whom you called from your office right before you left work. Your friend asks you:","Did you leave your phone at work X did you leave it on the bus?
",0,0,1,0,0,0,1,0,1
disj-nspk-sta-inc-q,"You really want a particular brand of sauce for something you plan on cooking later, but you’re not sure which supermarket would sell it. You ask your housemate:",Would Shop A sell this brand X would Shop B sell this brand?,?,0,,1,0,0,1,0,1
neither-sta,Paul works in a hospital. He is not a doctor and he is not a nurse. He works at the reception.,Paul is a doctor X he is a nurse. ,0,1,,1,0,0,0,0,1
neither-epi,"Mike’s mother told him to go to the supermarket to buy some ice cream for his sister, but Mike stole it instead and ate it himself",Mike didn’t buy ice cream nor did he give it to his sister.,0,1,,0,1,0,0,0,1
fc,There are two sweets on the table. A cupcake and a cookie. Paul can choose either one of them but not both. You don’t care which one he chooses. ,"Paul can eat a cupcake X he can eat a cookie. 
",0,0,,0,0,0,0,1,1
negative,"Susie always wanted to be a doctor, and she always loved running. When she was a kid, she dreamt of a double-career as a doctor and a professional runner. Unfortunately for Susie, neither of these plans worked out. She works a job she doesn’t like and she has no time for running.","Susie isn’t a doctor or a runner. (= It’s not the case that Susie is a doctor or that Susie is a runner.)
",0,1,,1,,0,0,0,1
disj-spk-3,"You and your friend are playing a game guessing what Susie’s job is. Your friend has no clue, and she asks you for a hint. You know that Susie is a doctor, and that she doesn’t have any other profession. This is your hint:",Susie is a doctor X she is a teacher,0,0,,1,0,1,0,0,2
disj-nspk-sta-exc-2,"Your friend asks you what Susie’s job is. As far as you know, Susie might be a doctor. You’re not sure though, it’s also possible that she’s a teacher. You say to your friend:
",Susie is a doctor X she is a teacher,0,0,,1,0,0,0,0,2
