ref,context,premise,example,judgment,questionnaire,comment
NL_E_1,conj-nocontrast-sta,na,NL_Q1_A1_1,felicitous,Q1,
NL_E_2,conj-nocontrast-sta,na,NL_Q1_A1_2,felicitous,Q1,
NL_E_3,conj-nocontrast-sta,na,NL_Q2_A1_1,infelicitous,Q1,not possible
NL_E_4,conj-nocontrast-epi,na,NL_Q1_A1_3,felicitous,Q1,
NL_E_5,conj-contrast-sta-mod,na,NL_Q1_A2_1,felicitous,Q1,
NL_E_6,conj-contrast-epi,na,NL_Q1_A2_2,felicitous,Q1,
NL_E_7,conj-contrast-negp-sta,na,NL_Q1_A3_1,felicitous,Q1,
NL_E_8,conj-contrast-negp-sta,na,NL_Q1_A3_2,felicitous,Q1,
NL_E_9,conj-contrast-negp-epi,na,NL_Q1_A3_3,felicitous,Q1,
NL_E_10,disj-spk-1,na,NL_Q1_B1_1,felicitous,Q1,
NL_E_11,disj-spk-1,na,NL_Q1_B1_3,felicitous,Q1,
NL_E_12,disj-spk-2,na,NL_Q1_B1_5,felicitous,Q1,
NL_E_13,disj-spk-2,na,NL_Q1_B1_6,felicitous,Q1,
NL_E_14,disj-nspk-epi,na,NL_Q1_B2.1.1_1,felicitous,Q1,
NL_E_15,disj-nspk-sta-exc-mod,na,NL_Q1_B2.1.1_2,felicitous,Q1,
NL_E_16,disj-nspk-sta-inc-mod,na,NL_Q1_B2.1.2_1,felicitous,Q1,
NL_E_17,disj-nspk-epi-q-mod,na,NL_Q1_B2.2_1,felicitous,Q1,
NL_E_18,disj-nspk-epi-q-mod,na,NL_Q1_B2.2_2,felicitous,Q1,
NL_E_19,disj-nspk-sta-inc-q,na,NL_Q1_B2.2_3,felicitous,Q1,
NL_E_20,disj-nspk-sta-inc-q,na,NL_Q1_B2.2_4,felicitous,Q1,
NL_E_21,neither-sta,na,NL_Q1_C1_2,felicitous,Q1,
NL_E_22,neither-sta,na,NL_Q1_C1_3,felicitous,Q1,(something that slightly older people say):
NL_E_23,neither-epi,na,NL_Q1_C1_5,felicitous,Q1,Pretty unnatural without the additive (“ook”)
NL_E_24,fc,na,NL_Q1_C2_1,felicitous,Q1,
NL_E_25,fc,na,NL_Q1_C2_2,felicitous,Q1,
NL_E_26,negative,na,NL_Q1_C3_1,felicitous,Q1,
NL_E_27,negative,na,NL_Q1_C3_2,felicitous,Q1,"The above is pretty unnatural, the following sounds slightly better:"
NL_E_28,negative,na,NL_Q1_C3_3,felicitous,Q1,
NL_E_29,conj-nocontrast-sta,na,NL_Q2_A1_1,infelicitous,Q2,needs a conjunction
NL_E_30,disj-spk-3,na,NL_Q1_A1_1,infelicitous,Q2,"The sentence is grammatical but wrong, because she is not a teacher."
NL_E_31,disj-nspk-sta-exc-2,na,NL_Q1_A1_1,infelicitous,Q2,"This doesn’t make much sense, would use “of”."
NL_E_32,disj-nspk-sta-inc-2,na,NL_Q1_A1_1,infelicitous,Q2,feels way more sure that she is both
NL_E_33,neither-sta-2,na,NL_Q1_A1_1,infelicitous,Q2,
NL_E_34,disj-spk-4,na,NL_Q1_A1_3,infelicitous,Q2,This means that he’s doing both.
NL_E_35,disj-nspk-epi-exc-2,na,NL_Q1_A1_3,infelicitous,Q2,
NL_E_36,disj-nspk-epi-inc-2,na,NL_Q1_A1_3,?,Q2,"This could work, but it sounds like he is doing both (doesn’t have to be true)."
NL_E_37,neither-epi-2,na,NL_Q1_A1_3,infelicitous,Q2,not true in the context
NL_E_38,conj-contrast-sta-mod,na,NL_Q2_A2_1,felicitous,Q2,"Ok, that would work."
NL_E_39,disj-spk-4-prime,na,NL_Q1_A2_1,infelicitous,Q2,You’re doing the opposite.
NL_E_40,disj-nspk-sta-exc-3,na,NL_Q1_A2_1,infelicitous,Q2,
NL_E_41,disj-nspk-sta-inc-3,na,NL_Q1_A2_1,infelicitous,Q2,
NL_E_42,neither-sta-3,na,NL_Q1_A2_1,infelicitous,Q2,
NL_E_43,conj-contrast-epi,na,NL_Q2_A2_2,infelicitous,Q2,Not really … implies that she intended to buy it for them in the first place.
NL_E_44,conj-contrast-negp-sta,na,NL_Q2_A3_1,felicitous,Q2,"Ok, that works."
