ref,expression,full form,words,gloss,translation,comment,questionnaire
farsi-con-1,va,va,Susie doktor ast va moalem ast,Susie doctor be.pres.3sg CONN teacher be.pres.3sg,Susie is a doctor and she is a teacher.,“va” is pronounced as “o” in social contexts; “ast” is usually pronounced as “e”,1
farsi-con-2,va,va,Paul television mi-bin- ∅ -ad va pirhan-esh ro otu mi-kon- ∅ -ad,Paul TV impf-see-pres-3sg CONN shirt-her/his acc iron impf-do-pres-3sg,Paul is watching TV and he is ironing his shirts.,,1
farsi-con-3,amma,amma,Susie doktor ast amma faghir ast,Susie doctor be.pres.3sg CONN poor be.pres.3sg,Susie is a doctor but she is poor.,“amma” might be a loan from Arabic (same in Hausa?); no difference perceived between “amma” and “vali”,1
farsi-con-3b,vali,vali,Susie doktor ast vali faghir ast,Susie doctor be.pres.3sg CONN poor be.pres.3sg,Susie is a doctor but she is poor.,“amma” might be a loan from Arabic (same in Hausa?); no difference perceived between “amma” and “vali”,1
farsi-con-4,amma,amma,Jen bastani xar-id amma be ye qharibe dad-esh,Jen ice-cream buy-pfv.past.3sg but to a stranger give.pfv.past.3sg-it,Jen bought ice cream but she bought it for a stranger.,,1
farsi-con-4b,vali,vali,Jen bastani xar-id vali be ye qharibe dad-esh,Jen ice-cream buy-pfv.past.3sg but to a stranger give.pfv.past.3sg-it,Jen bought ice cream but she bought it for a stranger.,,1
farsi-con-5,balke,balke,Paul doktor ni-st balke monshi ast,Paul doctor neg-be.pres.3sg CONN receptionist be.pres.3sg,Paul is not a doctor but he is a receptionist.,the more natural way to say it would be without “balke”,1
farsi-con-5b,juxtaposition,juxtaposition,Paul doktor ni-st monshi ast,Paul doctor neg-be.pres.3sg receptionist be.pres.3sg,Paul is not a doctor but he is a receptionist.,the more natural way to say it would be without “balke”,1
farsi-con-6,balke,balke,Jen bastani na-xar-id balke shokolat xar-id,Jen ice-cream neg-buy-pfv.past.3sg but chocolate buy-pfv.past.3sg,Jen didn’t buy ice cream but she bought chocolate.,with “balke” it sounds very formal; “Be-ja” ~ “instead of”,1
farsi-con-6b,bejash,bejash,Jen bastani na-xar-id be-ja-sh shokolat xar-id,Jen ice-cream neg-buy-pfv.past.3sg to-place-it chocolate buy-pfv.past.3sg,Jen didn’t buy ice cream but she bought chocolate.,with “balke” it sounds very formal; “Be-ja” ~ “instead of”,1
farsi-con-6c,juxtaposition,juxtaposition,Jen bastani na-xar-id shokolat xar-id,Jen ice-cream neg-buy-pfv.past.3sg chocolate buy-pfv.past.3sg,Jen didn’t buy ice cream but she bought chocolate.,,1
farsi-con-7,ya ... ya,ya ... ya,Javab-e soal ya A ast ya B ast,answer-EZ question CONN A be.pres.3sg CONN B be.pres.3sg,(Either) the answer to the question is A or the answer to the question is B.,“EZ” stands for “ezafe” (a nominal linker); a longer version with full conjuncts would sound weird,1
farsi-con-7b,ya ... ya,ya ... ya,Javab-e soal ya A ast ya B,answer-EZ question CONN A be.pres.3sg CONN B,(Either) the answer to the question is A or the answer to the question is B.,“EZ” stands for “ezafe” (a nominal linker); a longer version with full conjuncts would sound weird,1
farsi-con-7c,ya ... va ya,ya ... va ya,Javab-e soal ya A ast va ya B ast,answer-EZ question or A be.pres.3sg and or B be.pres.3sg,(Either) the answer to the question is A or the answer to the question is B.,“EZ” stands for “ezafe” (a nominal linker),1
farsi-con-7d,ya ... va ya,ya ... va ya,Javab-e soal ya A ast va ya B,answer-EZ question or A be.pres.3sg and or B,(Either) the answer to the question is A or the answer to the question is B.,“EZ” stands for “ezafe” (a nominal linker),1
farsi-con-8,ya ... ya,ya ... ya,Ya Paul doktor ast ya John doktor ast,CONN Paul doctor be.pres.3sg CONN John doctor be.pres.3sg,(Either) Paul is a doctor or John is a doctor.,“va” is not good here,1
farsi-con-8b,ya ... ya,ya ... ya,Ya Paul doktor ast ya John,CONN Paul doctor be.pres.3sg CONN John,(Either) Paul is a doctor or John is a doctor.,“va” is not good here,1
