expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
kuma,kuma,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,hausa-con-evid1,neither,
kuma,kuma,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,hausa-con-evid3,neither,
kuma,kuma,conj-contrast-sta,1,0,1,1,0,1,0,0,,,neither,
kuma,kuma,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
kuma,kuma,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,neither,
kuma,kuma,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,neither,
kuma,kuma,disj-spk,0,0,,1,0,1,0,0,0,hausa-con-evid26,neither,
kuma,kuma,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
kuma,kuma,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,hausa-con-evid27,neither,
kuma,kuma,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,hausa-con-evid28,neither,
kuma,kuma,disj-nspk-q-exc,0,0,1,1,0,0,1,0,0,hausa-con-evid29,neither,
kuma,kuma,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,neither,
kuma,kuma,neither-sta,0,1,,1,0,0,0,0,,,neither,
kuma,kuma,neither-epi,0,1,,0,1,0,0,0,,,neither,
kuma,kuma,fc,0,0,,0,0,0,0,1,,,neither,
kuma,kuma,negative,0,1,,1,,0,0,0,,,neither,
kuma,ba ... kuma ba ...,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hausa-con-evid65,below,ba = negation
kuma,ba ... kuma ba ...,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,below,ba = negation
kuma,ba ... kuma ba ...,conj-contrast-sta,1,0,1,1,0,1,0,0,0,conj-contrast-sta-3,below,ba = negation
kuma,ba ... kuma ba ...,conj-contrast-epi,1,0,1,0,0,1,0,0,,,below,ba = negation
kuma,ba ... kuma ba ...,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,below,ba = negation
kuma,ba ... kuma ba ...,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,below,ba = negation
kuma,ba ... kuma ba ...,disj-spk,0,0,,1,0,1,0,0,0,hausa-con-evid67,below,ba = negation
kuma,ba ... kuma ba ...,disj-nspk-epi,0,0,1,0,0,0,0,0,,,below,ba = negation
kuma,ba ... kuma ba ...,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,hausa-con-evid68,below,ba = negation
kuma,ba ... kuma ba ...,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,hausa-con-evid69,below,ba = negation
kuma,ba ... kuma ba ...,disj-nspk-q-exc,0,0,1,1,0,0,1,0,,,below,ba = negation
kuma,ba ... kuma ba ...,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,below,ba = negation
kuma,ba ... kuma ba ...,neither-sta,0,1,,1,0,0,0,0,1,hausa-con-evid21,below,ba = negation
kuma,ba ... kuma ba ...,neither-epi,0,1,,0,1,0,0,0,1,hausa-con-evid22,below,ba = negation
kuma,ba ... kuma ba ...,fc,0,0,,0,0,0,0,1,,,below,ba = negation
kuma,ba ... kuma ba ...,negative,0,1,,1,,0,0,0,,,below,ba = negation
amma,amma,conj-nocontrast-sta,1,0,0,1,0,1,0,0,,,neither,
amma,amma,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,neither,
amma,amma,conj-contrast-sta,1,0,1,1,0,1,0,0,1,hausa-con-evid5,neither,
amma,amma,conj-contrast-epi,1,0,1,0,0,1,0,0,1,hausa-con-evid6,neither,
amma,amma,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,hausa-con-evid7,neither,
amma,amma,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,hausa-con-evid8,neither,
amma,amma,disj-spk,0,0,,1,0,1,0,0,0,hausa-con-evid31,neither,
amma,amma,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
amma,amma,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,hausa-con-evid32,neither,
amma,amma,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,hausa-con-evid33,neither,
