ref,expression,full form,words,gloss,translation,comment,questionnaire
hebrew-con-1,ve,ve,Suzi hi rofʔa ve -hi mora.,S. she doctor.F CONN -she teacher.F,Susie is a doctor and she is a teacher.,,1
hebrew-con-2,∅,juxtaposition,Suzi hi rofʔa hi mora.,,Susie is a doctor; she is a teacher.,Not so great (same as in English),1
hebrew-con-3a,ve,ve,Pol cofe b-a-televizia ve megahec et ha-xulc-ot šel-o.,P. watch.prs.sg.m in-def-television CONN iron.prs.sg.m acc def-shirt-pl poss.3sg.m,Paul is watching TV and he is ironing his shirts.,,1
hebrew-con-3b,ve,ve,Pol cofe b-a-televizia ve -hu megahec et ha-xulc-ot šel-o.,P. watch.prs.sg.m in-def-television CONN -he iron.prs.sg.m acc def-shirt-pl poss.3sg.m,Paul is watching TV and he is ironing his shirts.,,1
hebrew-con-4,aval,aval,Suzi hi rofʔa aval hi ani-a.,S. she doctor.f CONN she poor-sg.f,Susie is a doctor but she is poor.,,1
hebrew-con-5,aval,aval,Jen kanta glida aval hi kanta ot-a bišvil mišehu axer.,J. buy.pst.3sg.f ice.cream CONN she buy.pst.3sg.f acc-3sg.f for someone else,Jen bought ice cream but she bought it for a stranger.,,1
hebrew-con-6,ela,ela,Pol hu lo rofe ela pkid kabala.,P. he neg doctor CONN clerk.of reception,Paul is not a doctor but he is a receptionist.,,1
hebrew-con-7,ela,ela,Jen lo kanta glida ela šokolad.,J. neg buy.pst.3sg.f ice.cream CONN chocolate,Jen didn’t buy ice cream but she bought chocolate.,the ela reading is slightly harder to get when full clauses are conjoined (in English); with ela conjoining full clauses is not so good in this context,1
hebrew-con-8a,o,o,Ha-tšuva hi alef o bet,def-answer she A CONN B,(Either) the answer to the question is A or the answer to the question is B.,,1
hebrew-con-8b,o ... o,o ... o,Ha-tšuva hi o alef o bet,def-answer she CONN A CONN B,(Either) the answer to the question is A or the answer to the question is B.,,1
hebrew-con-9,o ... o,o ... o,O še-ha-tšuva hi alef o še-hi bet,CONN comp-def-answer she A CONN comp-she B,(Either) the answer to the question is A or the answer to the question is B.,"Here, both o’s are required",1
hebrew-con-10,o ... o,o ... o,O še-pol hu rofe o še-jon hu rofe,CONN comp-Paul he doctor CONN comp-pn he doctor,(Either) Paul is a doctor or John is a doctor.,,1
hebrew-con-11,o,o,Pol hu rofe o jon hu rofe,P. he doctor CONN J. he doctor,(Either) Paul is a doctor or John is a doctor.,probably wouldn’t choose this one (above) [but volunteered],1
hebrew-con-12,o ... o,o ... o,O pol o jon hu rofe,CONN P. CONN J. he doctor,(Either) Paul is a doctor or John is a doctor.,,1
hebrew-con-13,o ... o,o ... o,O še-hišʔarti et ha-telefon šel-i b-a-avoda o še-hu nafal l-i b-a-derex ha-bayt-a.,CONN comp-leave.pst.1sg acc def-telephone poss-1sg in-def-work CONN comp-he fall.pst.3sg.m dat-1sg in-def-way def-house-allative,I left my phone at work or I dropped it on my way home.,,1
hebrew-con-14,o ... o,o ... o,O še-jon rofe o še-hu sofer.,CONN comp-J. doctor CONN comp-he writer,John is a doctor or he is a writer.,,1
hebrew-con-15,o ... o,o ... o,Jon hu o rofe o sofer.,J. he CONN doctor CONN writer,John is a doctor or he is a writer.,,1
hebrew-con-16,o,o,Jon hu rofe o sofer (ulay šney-hem),J. he doctor CONN writer (maybe two.of-3pl.m),John is a doctor or he is a writer (maybe both).,,1
