expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ve,ve,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,hebrew-ev-1,neither,
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,hebrew-ev-2,neither,Conflicting evidence
ve,ve,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"hebrew-ev-3,hebrew-ev-4",neither,
aval,aval,conj-contrast-sta,1,1,1,1,0,1,0,0,1,hebrew-ev-5,neither,
∅,juxtaposition,conj-contrast-sta,1,1,1,1,0,1,0,0,0,hebrew-ev-40,neither,
aval,aval,conj-contrast-epi,1,1,1,0,0,1,0,0,1,hebrew-ev-6,neither,
∅,juxtaposition,conj-contrast-epi,1,1,1,0,0,1,0,0,0,hebrew-ev-45,neither,
ela,ela,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,hebrew-ev-7,neither,
∅,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,hebrew-ev-46,neither,
ela,ela,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,hebrew-ev-8,neither,
∅,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,hebrew-ev-47,neither,
o,o,disj-spk,0,0,,1,0,1,0,0,1,hebrew-ev-13,neither,
o ... o,o ... o,disj-spk,0,0,,1,0,1,0,0,1,"hebrew-ev-10,hebrew-ev-11,hebrew-ev-12,hebrew-ev-14",neither,
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,hebrew-ev-58,neither,
ela,ela,disj-spk,0,0,,1,0,1,0,0,0,hebrew-ev-51,neither,
o,o,disj-nspk-sta,0,0,,1,0,0,0,0,1,hebrew-ev-16,neither,
o ... o,o ... o,disj-nspk-sta,0,0,,1,0,0,0,0,1,"hebrew-ev-14,hebrew-ev-15",neither,
ela,ela,disj-nspk-sta,0,0,,1,0,0,0,0,0,"hebrew-ev-52,hebrew-ev-53,hebrew-ev-54,hebrew-ev-55",neither,
o ... o,o ... o,disj-nspk-epi,0,0,1,0,0,0,0,0,1,hebrew-ev-15,neither,
∅,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,hebrew-ev-75,neither,
o,o,disj-nspk-q,0,0,1,0,0,0,1,0,1,"hebrew-ev-19,hebrew-ev-20,hebrew-ev-21",neither,
o ... o,o ... o,disj-nspk-q,0,0,1,0,0,0,1,0,0,hebrew-ev-80,neither,
lo ... ve-lo,lo ... ve-lo,neither-sta,0,1,,1,0,0,0,0,1,hebrew-ev-22,below,
lo ... o,lo ... o,neither-sta,0,1,,1,0,0,0,0,1,hebrew-ev-23,above,
∅,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,hebrew-ev-81,neither,
ela,ela,neither-sta,0,1,,1,0,0,0,0,0,"hebrew-ev-56,hebrew-ev-57",neither,
lo ... ve-lo,lo ... ve-lo,neither-epi,0,1,,0,1,0,0,0,1,hebrew-ev-24,below,
o,o,fc,0,0,,0,0,0,0,1,1,"hebrew-ev-25,hebrew-ev-27",neither,
o ... o,o ... o,fc,0,0,,0,0,0,0,1,1,hebrew-ev-26,neither,
ve,ve,disj-spk,0,0,,0,0,1,0,0,1,"hebrew-ev-32,hebrew-ev-33",neither,
ve,ve,disj-nspk-epi,0,0,,0,0,0,0,0,1,"hebrew-ev-34,hebrew-ev-35,hebrew-ev-36,hebrew-ev-37",neither,
ve,ve,neither-epi,0,1,,0,0,0,0,0,1,"hebrew-ev-38,hebrew-ev-39",neither,
aval,aval,disj-spk,0,0,,1,0,1,0,0,0,hebrew-ev-41,neither,
aval,aval,disj-nspk-sta,0,0,,1,0,0,0,0,0,"hebrew-ev-42,hebrew-ev-43",neither,
aval,aval,neither-sta,0,1,,1,0,0,0,0,0,hebrew-ev-44,neither,
ela,ela,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"hebrew-ev-48,hebrew-ev-49",neither,
o ... o,o ... o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hebrew-ev-59,neither,
o,o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hebrew-ev-60,neither,
o ... o,o ... o,conj-contrast-sta,1,1,1,1,0,1,0,0,0,hebrew-ev-61,neither,
o,o,conj-contrast-sta,1,1,1,1,0,1,0,0,0,hebrew-ev-62,neither,
o,o,disj-nspk-sta,0,0,,1,0,0,0,0,?,hebrew-ev-64,neither,Conflicting evidence
o ... o,o ... o,disj-nspk-sta,0,0,,1,0,0,0,0,?,"hebrew-ev-67,hebrew-ev-68,hebrew-ev-69,hebrew-ev-70,hebrew-ev-71,hebrew-ev-72",neither,Conflicting evidence
o ... o,o ... o,neither-sta,0,0,,1,0,0,0,0,0,hebrew-ev-73,neither,
o,o,neither-sta,0,0,,1,0,0,0,0,0,hebrew-ev-74,neither,
∅,juxtaposition,other,,,,,,,,,?,"hebrew-ev-76,hebrew-ev-77",neither,Conflicting evidence
