ref,expression,full_form,words,glosses,translation,comment,questionnaire
jp_001,-de,-de,Suzi -wa isya -de kanojo -wa sensee -demoaru,Suzi -Top doctor -Cop.Conj she -Top teacher -Cop.Additive,Susie is a doctor and she is a teacher.,(1) is most natural option,Q1
jp_002,katsu,-de katsu,Suzi -wa isya -de katsu sensee -demoaru,Suzi -Top doctor -Cop.Conj katsu teacher -Cop.Additive,Susie is a doctor and she is a teacher.,All the connectives in (2) are possible.,Q1
jp_003,mata,-de mata,Suzi -wa isya -de mata sensee -demoaru,Suzi -Top doctor -Cop.Conj mata teacher -Cop.Additive,Susie is a doctor and she is a teacher.,All the connectives in (2) are possible.,Q1
jp_004,soshite,-de soshite,Suzi -wa isya -de soshite sensee -demoaru,Suzi -Top doctor -Cop.Conj soshite teacher -Cop.Additive,Susie is a doctor and she is a teacher.,All the connectives in (2) are possible.,Q1
jp_005,sorekara,-de sorekara,Suzi -wa isya -de sorekara sensee -demoaru,Suzi -Top doctor -Cop.Conj sorekara teacher -Cop.Additive,Susie is a doctor and she is a teacher.,All the connectives in (2) are possible.,Q1
jp_006,-shi,-shi,Poru -wa terebi -o mi -teiru -shi syatsu -ni airon -o kaket -eiru,Paul -Top TV -Acc see -Asp -Conj shirt -Dat iron -Acc put.on -Asp,Paul is watching TV and he is ironing his shirts.,-shi a conjugation in conjuctive contexts.,Q1
jp_007,mata,-shi mata,Poru -wa terebi -o mi -teiru -shi mata syatsu -ni airon -o kaket -eiru,Paul -Top TV -Acc see -Asp -Conj mata shirt -Dat iron -Acc put.on -Asp,Paul is watching TV and he is ironing his shirts.,"bit strange for register reasons, sentence-final particles would be added",Q2
jp_008,-ga,-ga,Suzi -wa isya -da -ga kanojo -wa binboo -da,Suzi -Top doctor -Cop -but she -Top poor -Cop,Susie is a doctor but she is poor.,Ga has the implication that there is a contrast.,Q1
jp_009,shikashi,-ga shikashi,Suzi -wa isya -da -ga shikashi kanojo -wa binboo -da,Suzi -Top doctor -Cop -but shikashi she -Top poor -Cop,Susie is a doctor but she is poor.,These extra coordinators are optional.,Q1
jp_010,tokoroga,-ga tokoroga,Suzi -wa isya -da -ga tokoroga kanojo -wa binboo -da,Suzi -Top doctor -Cop -but tokoroga she -Top poor -Cop,Susie is a doctor but she is poor.,"These extra coordinators are optional. Tokoroga, more formal.",Q1
jp_011,demo,-ga demo,Suzi -wa isya -da -ga demo kanojo -wa binboo -da,Suzi -Top doctor -Cop -but demo she -Top poor -Cop,Susie is a doctor but she is poor.,"These extra coordinators are optional. Demo, less formal.",Q1
jp_012,-ga,-ga,Jen -wa aisu -o katta -ga kanojo -wa sore -o shiranai hito -ni age -ta,Jen -Top ice.cream -Acc bought -GA she -Top it -Acc unknown person -Dat give -Past,Jen bought ice cream but she bought it for a stranger.,,Q1
jp_013,shikashi,-ga shikashi,Jen -wa aisu -o katta -ga shikashi kanojo -wa sore -o shiranai hito -ni age -ta,Jen -Top ice.cream -Acc bought -GA shikashi she -Top it -Acc unknown person -Dat give -Past,Jen bought ice cream but she bought it for a stranger.,,Q1
jp_014,tokoroga,-ga tokoroga,Jen -wa aisu -o katta -ga tokoroga kanojo -wa sore -o shiranai hito -ni age -ta,Jen -Top ice.cream -Acc bought -GA tokoroga she -Top it -Acc unknown person -Dat give -Past,Jen bought ice cream but she bought it for a stranger.,,Q1
jp_015,demo,-ga demo,Jen -wa aisu -o katta -ga demo kanojo -wa sore -o shiranai hito -ni age -ta,Jen -Top ice.cream -Acc bought -GA demo she -Top it -Acc unknown person -Dat give -Past,Jen bought ice cream but she bought it for a stranger.,,Q1
jp_016,-ga,-ga,Poru -wa isya -de -wa -nai -ga kare -wa uketsuke -da,Paul -Top doctor -Cop -Top -Neg -GA he -Top reception -Cop,Paul is not a doctor but he is a receptionist.,,Q1
jp_017,-ga,-ga,Jen -wa aisu -o kaw -ana -katta -ga kanojo -wa tyoko -o kat -ta,Jen -Top ice -Acc buy -Neg -Past -GA she -Top chocolate -Acc buy -Past,Jen didn’t buy ice cream but she bought chocolate.,,Q1
jp_018,-ka,-ka,Mondai -no kotae -wa A ka sono kotae -wa B -da,Question -Gen answer -Top A KA its answer -Top B -Cop,(Either) the answer to the question is A or the answer to the question is B.,,Q1
jp_019,-ka ... -ka,-ka ... -ka,Mondai -no kotae -wa A ka sono kotae -wa B -ka -da,Question -Gen answer -Top A KA its answer -Top B -KA -Cop,(Either) the answer to the question is A or the answer to the question is B.,,Q1
jp_020,matawa,-ka matawa,Mondai -no kotae -wa A ka matawa sono kotae -wa B -da,Question -Gen answer -Top A KA or its answer -Top B -Cop,(Either) the answer to the question is A or the answer to the question is B.,,Q1
jp_021,matawa,-ka matawa -ka,Mondai -no kotae -wa A ka matawa sono kotae -wa B -ka -da,Question -Gen answer -Top A KA or its answer -Top B -KA -Cop,(Either) the answer to the question is A or the answer to the question is B.,,Q1
jp_022,-ka,-ka,Poru -ga isya -ka John -ga isya -da,Paul -Nom doctor -KA John -Nom doctor -Cop,(Either) Paul is a doctor or John is a doctor.,,Q1
jp_023,-ka ... -ka,-ka ... -ka,Poru -ga isya -ka John -ga isya -ka -da,Paul -Nom doctor -KA John -Nom doctor -KA -Cop,(Either) Paul is a doctor or John is a doctor.,,Q1
jp_024,matawa,-ka matawa,Poru -ga isya -ka matawa John -ga isya -da,Paul -Nom doctor -KA or John -Nom doctor -Cop,(Either) Paul is a doctor or John is a doctor.,"problem with the sentence itself (syntax), doubling of “ka” with “matawa” preferred",Q2
jp_025,matawa,-ka matawa -ka,Poru -ga isya -ka matawa John -ga isya -ka -da,Paul -Nom doctor -KA or John -Nom doctor -KA -Cop,(Either) Paul is a doctor or John is a doctor.,,Q1
jp_026,-ka,-ka,Watashi -wa shigotoba -ni denwa -o wasureta -ka kaeru tochuu -de pro otoshita,I -Top work.place -Dat phone -Acc forgot -KA return middle -Loc pro dropped,I left my phone at work or dropped it on my way home.,,Q1
