expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
nangk,nangk,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,Khmer_evidence_1,neither,
nangk,nangk,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,Khmer_evidence_4,neither,
nangk,nangk,disj-spk,0,0,,1,0,1,0,0,0,Khmer_evidence_22,neither,
nangk,nangk,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,Khmer_evidence_24,neither,
nangk,nangk,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,Khmer_evidence_26,neither,
nangk,nangk,neither-sta,0,1,,1,0,0,0,0,0,Khmer_evidence_28,neither,
haj,haj,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,Khmer_evidence_2,neither,
haj,haj,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,Khmer_evidence_5,neither,
haj,haj,disj-spk,0,0,,1,0,1,0,0,0,Khmer_evidence_23,neither,
haj,haj,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,Khmer_evidence_25,neither,
haj,haj,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,Khmer_evidence_27,neither,
haj,haj,neither-sta,0,1,,1,0,0,0,0,0,Khmer_evidence_29,neither,
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,Khmer_evidence_3,neither,
∅,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,?,"Khmer_evidence_32, Khmer_evidence_33",neither,Judgment is recorded as ?(?)
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,Khmer_evidence_43,neither,
pon.tai,pon.tai,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"Khmer_evidence_6, Khmer_evidence_7, Khmer_evidence_30, Khmer_evidence_31",neither,
pon.tai,pon.tai,conj-contrast-epi,1,0,1,0,0,1,0,0,1,Khmer_evidence_8,neither,
pon.tai,pon.tai,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,Khmer_evidence_9,neither,
pon.tai,pon.tai,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,Khmer_evidence_10,neither,
pon.tai,pon.tai,disj-spk,0,0,,1,0,1,0,0,0,"Khmer_evidence_34, Khmer_evidence_35",neither,
pon.tai,pon.tai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"Khmer_evidence_36, Khmer_evidence_37",neither,
pon.tai,pon.tai,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"Khmer_evidence_38, Khmer_evidence_39",neither,
pon.tai,pon.tai,neither-sta,0,1,,1,0,0,0,0,0,"Khmer_evidence_40, Khmer_evidence_41",neither,
reuh,reuh,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,Khmer_evidence_44,neither,
reuh,reuh,conj-contrast-sta,1,0,1,1,0,1,0,0,0,Khmer_evidence_45,neither,
reuh,reuh,disj-spk,0,0,,1,0,1,0,0,1,"Khmer_evidence_11, Khmer_evidence_12, Khmer_evidence_42",neither,
reuh,reuh,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"Khmer_evidence_13, Khmer_evidence_14",neither,
reuh,reuh,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"Khmer_evidence_15, Khmer_evidence_46",neither,
reuh,reuh,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"Khmer_evidence_16, Khmer_evidence_47",neither,
reuh,reuh,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,Khmer_evidence_17,neither,
reuh,reuh,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,Khmer_evidence_18,neither,
reuh,reuh,neither-sta,0,0,,1,0,0,0,0,0,Khmer_evidence_48,neither,
reuh,reuh,fc,0,0,,0,0,0,0,1,1,Khmer_evidence_21,neither,
haj,m-nmen … haj … m-nmen …,neither-sta,0,1,,1,0,0,0,0,1,Khmer_evidence_19,below,
haj,m-n … haj … m-n …,neither-epi,0,1,,0,1,0,0,0,1,Khmer_evidence_20,below,
