ref,context,premise,example,judgment,questionnaire,comment
kii_ev_1,conj-nocontrast-sta,na,kii_1,felicitous,Q1,
kii_ev_2,conj-nocontrast-epi,na,kii_2,felicitous,Q1,
kii_ev_3,conj-nocontrast-epi,na,kii_3,felicitous,Q1,indicates that it’s happening simultaneously
kii_ev_4,conj-contrast-sta-mod,na,kii_4,felicitous,Q1,
kii_ev_5,conj-contrast-epi,na,kii_5,felicitous,Q1,
kii_ev_6,conj-contrast-negp-sta,na,kii_6,felicitous,Q1,
kii_ev_7,conj-contrast-negp-sta,na,kii_7,felicitous,Q1,
kii_ev_8,conj-contrast-negp-epi,na,kii_8,felicitous,Q1,
kii_ev_9,conj-contrast-negp-epi,na,kii_9,felicitous,Q1,
kii_ev_10,disj-spk-1,na,kii_10,felicitous,Q1,with 2 complete sentences sounds very unnatural
kii_ev_11,disj-spk-1,na,kii_11,felicitous,Q1,with 2 complete sentences sounds very unnatural
kii_ev_12,disj-spk-2,na,kii_12,felicitous,Q1,
kii_ev_13,disj-nspk-epi,na,kii_13,felicitous,Q1,It may be that I left the phone in the office or I lost it on the way.
kii_ev_14,disj-nspk-sta-exc-mod,na,kii_14,felicitous,Q1,‘John is a doctor or a writer.’
kii_ev_15,disj-nspk-sta-inc-mod,na,kii_15,felicitous,Q1,"‘John might be a doctor, a writer or both.’’"
kii_ev_16,disj-nspk-epi-q-mod,na,kii_16,felicitous,Q1,“Lit: You left your phone in the office or you left it on the bus?’
kii_ev_17,disj-nspk-sta-inc-q,na,kii_17,felicitous,Q1,‘Is it Nakumatt that may be selling Royco or Mathaî?’
kii_ev_18,neither-sta,na,kii_18,felicitous,Q1,‘Lit: Paul is not a doctor and not a nurse.’
kii_ev_19,neither-epi,na,kii_19,felicitous,Q1,“Mark didn’t buy ice cream and didn’t give it to his sister.’
kii_ev_20,fc,na,kii_20,felicitous,Q1,‘Paul can eat a cupcake or a cookie.’
kii_ev_21,negative,na,kii_21,felicitous,Q1,‘Susie is not a doctor and not a runner.’
kii_ev_22,conj-nocontrast-sta,na,kii_22,infelicitous,Q2,"needs “na”, without it, it sounds like you are correcting yourself"
kii_ev_23,disj-spk-3,na,kii_1,infelicitous,Q2,
kii_ev_24,disj-nspk-sta-exc-2,na,kii_1,infelicitous,Q2,"‘na’ is not appropriate, corrected to: Susie i ndagitaarî na n’wa wîgue i mwarimû"
kii_ev_25,disj-nspk-sta-exc-2,na,kii_23,felicitous,Q2,this would mean that she could be both ( n’wa wîgue ~ possibility)
kii_ev_26,disj-nspk-sta-inc-2,na,kii_1,infelicitous,Q2,corrected to: Susie n’wa wîgue i ndagitaarî kana i mwarimû
kii_ev_27,disj-nspk-sta-inc-2,na,kii_24,felicitous,Q2,“Susie might be a doctor or a teacher.”
kii_ev_28,neither-sta-2,na,kii_1,infelicitous,Q2,corrected to: Susie ti ndagitaarî na ti mwarimû
kii_ev_29,neither-sta-2,na,kii_25,felicitous,Q2,
kii_ev_30,conj-nocontrast-epi,na,kii_3,felicitous,Q2,that’s fine
kii_ev_31,conj-contrast-sta-mod,na,kii_26,infelicitous,Q2,
kii_ev_32,disj-spk-4-prime,na,kii_4,infelicitous,Q2,
kii_ev_33,disj-nspk-sta-exc-3,na,kii_4,infelicitous,Q2,
kii_ev_34,disj-nspk-sta-inc-3,na,kii_4,infelicitous,Q2,
kii_ev_35,neither-sta-3,na,kii_4,infelicitous,Q2,
kii_ev_36,conj-contrast-epi,na,kii_27,infelicitous,Q2,would be ok as 2 sentences
kii_ev_37,conj-contrast-negp-sta,na,kii_6,felicitous,Q2,that’s fine
kii_ev_38,conj-contrast-negp-epi,na,kii_8,felicitous,Q2,that’s perfect
kii_ev_39,disj-spk-2,na,kii_28,infelicitous,Q2,
kii_ev_40,disj-spk-2,na,kii_29,?,Q2,this could be correct depending on how we play the game
kii_ev_41,disj-spk-2,na,kii_30,felicitous,Q2,
kii_ev_42,conj-nocontrast-sta-2,na,kii_12,infelicitous,Q2,
kii_ev_43,conj-nocontrast-sta-2,na,kii_29,infelicitous,Q2,"in the context it should be inclusive, not exclusive"
kii_ev_44,conj-contrast-sta-2,na,kii_12,infelicitous,Q2,
kii_ev_45,conj-contrast-sta-2,na,kii_29,infelicitous,Q2,
kii_ev_46,disj-nspk-sta-exc-4,na,kii_12,felicitous,Q2,very good
