ref,expression,full form,words,glosses,translation,comment,questionnaire
kor_1,-ko,-ko,Susie-nun uysa-i- ko kunye-nun sensayingnim-i-ta,Susie-top doctor-cop- conj she-top teacher-cop-decl,Susie is a doctor and she is a teacher.,,Q1
kor_2,∅,∅,Susie-nun uysa-i-ta. kunye-nun sensayingnim-i-ta.,Susie-top doctor-cop-decl. she-top teacher-cop-decl,Susie is a doctor; she is a teacher.,,Q1
kor_3,kuliko,kuliko,Susie-nun uysa-i-ta. kuliko kunye-nun sensayingnim-i-ta.,Susie-top doctor-cop-decl. and she-top teacher-cop-decl,Susie is a doctor; she is a teacher.,,Q1
kor_4,-ko,-ko,Paul-un TV-lul po-ko.iss- ko ku-uy syechu-lul talimchilha-ko.iss-ta.,Paul-top TV-acc watch-prog- conj he-gen shirt-acc iron-prog-decl,Paul is watching TV and he is ironing his shirts.,,Q1
kor_5,-ko,-ko,Paul-un TV-lul po-ko.iss- ko ku-nun ku-uy syechu-lul talimchilha-ko.iss-ta.,Paul-top TV-acc watch-prog- conj he-top he-gen shirt-acc iron-prog-decl,Paul is watching TV and he is ironing his shirts.,,Q1
kor_6,∅,∅,Paul-un TV-lul po-ko.iss-ta. ku-nun talimchilha-ko.iss-ta.,Paul-top TV-acc watch-prog-decl. he-top iron-prog-decl,Paul is watching TV; he is ironing his shirts.,,Q1
kor_7,kuliko,kuliko,Paul-un TV-lul po-ko.iss-ta. kuliko ku-nun talimchilha-ko.iss-ta.,Paul-top TV-acc watch-prog-decl. and he-top iron-prog-decl,Paul is watching TV; he is ironing his shirts.,,Q1
kor_8,-ciman,-ciman,Susie-nun uysa-i- ci.man kananha-ta.,Susie-top doctor-cop- but poor-decl,Susie is a doctor but she is poor.,,Q1
kor_9,-ciman,-ciman,Susie-nun uysa-i- ci.man kunye-nun kananha-ta.,Susie-top doctor-cop- but she-top poor-decl,Susie is a doctor but she is poor.,,Q1
kor_10,haciman,haciman,Susie-nun uysa-i-ta. ha ci.man kunye-nun kananha-ta.,Susie-top doctor-cop-decl. but she-top poor-decl,Susie is a doctor but she is poor.,,Q1
kor_11,-ciman,-ciman,Jen-un aisukhulim-ul sa-ss- ci.man kunye-nun nachse-n salam-ul wihay sa-ss-ta.,Jen-top ice.cream-acc buy-past- but she-top unfamiliar-adn person-acc for buy-past-decl,Jen bought ice cream but she bought it for a stranger.,,Q1
kor_12,la,(ani-) la,Paul-un uysa-ka ani - la cepswuwen-i-ta.,Paul-top doctor-nom neg - la receptionist-cop-decl,Paul is not a doctor but he is a receptionist.,It would mean “Although he is not a doctor…”,Q1
kor_13,la,(ani-) la,Paul-un uysa-ka ani - la ku-nun cepswuwen-i-ta.,Paul-top doctor-nom neg - la he-top receptionist-cop-decl,Paul is not a doctor but he is a receptionist.,It would mean “Although he is not a doctor…”,Q1
kor_14,-ciman,-ciman,Jen-un aisukhulim-ul an sa-ss- ciman kunye-nun chokholleys-ul sa-ss-ta.,Jen-top ice.cream-acc neg buy-past- but she-top chocolate-acc buy-past-decl,Jen didn’t buy ice cream but she bought chocolate.,an: didn’t buy on purpose,Q1
kor_15,-ciman,-ciman,Jen-un aisukhulim-ul mos sa-ss- ciman kunye-nun chokholleys-ul sa-ss-ta.,Jen-top ice.cream-acc neg buy-past- but she-top chocolate-acc buy-past-decl,Jen didn’t buy ice cream but she bought chocolate.,mos: no choice,Q1
kor_16,-kena,-kena,cilmwun-ey tayhan tap-i A-i- kena cilmwun-ey tayhan tap-i B-i-ta.,question-to about answer-nom A-cop- or question-to about answer-nom B-cop-decl,(Either) the answer to the question is A or the answer to the question is B.,,Q1
kor_17,ttonun,-kena ttonun,cilmwun-ey tayhan tap-i A-i- kena ttonun cilmwun-ey tayhan tap-i B-i-ta.,question-to about answer-nom A-cop- or or question-to about answer-nom B-cop-decl,(Either) the answer to the question is A or the answer to the question is B.,tto-nun : also-(contrastive)topic?,Q1
kor_18,animyen,-kena animyen,cilmwun-ey tayhan tap-i A-i- kena animyen cilmwun-ey tayhan tap-i B-i-ta.,question-to about answer-nom A-cop- or or question-to about answer-nom B-cop-decl,(Either) the answer to the question is A or the answer to the question is B.,animyen : neg-if (higher rate of exclusive or interpretation),Q1
