ref,context,premise,example,judgment,questionnaire,comment
THAI_EVD_001,conj-nocontrast-sta,na,THAI_001,felicitous,Q1,
THAI_EVD_002,conj-nocontrast-sta,na,THAI_002,felicitous,Q1,
THAI_EVD_003,conj-nocontrast-sta,na,THAI_003,felicitous,Q1,“gub” is normally translated as “with”/ ”together”
THAI_EVD_004,conj-nocontrast-sta,na,THAI_004,felicitous,Q1,“gub” is normally translated as “with”/ ”together”
THAI_EVD_005,conj-nocontrast-epi,na,THAI_005,felicitous,Q1,
THAI_EVD_006,conj-nocontrast-epi,na,THAI_006,felicitous,Q1,“gub” is normally translated as “with”/ ”together”
THAI_EVD_007,conj-contrast-sta-mod,na,THAI_007,felicitous,Q1,
THAI_EVD_008,conj-contrast-epi,na,THAI_008,felicitous,Q1,
THAI_EVD_009,conj-contrast-negp-sta,na,THAI_009,felicitous,Q1,
THAI_EVD_010,conj-contrast-negp-sta,na,THAI_010,felicitous,Q1,
THAI_EVD_011,conj-contrast-negp-sta,na,THAI_011,felicitous,Q1,
THAI_EVD_012,conj-contrast-negp-sta,na,THAI_012,felicitous,Q1,
THAI_EVD_013,conj-contrast-negp-epi,na,THAI_013,felicitous,Q1,you can’t omit the verb ( ser ) in this context
THAI_EVD_014,conj-contrast-negp-epi,na,THAI_014,felicitous,Q1,you can’t omit the verb ( ser ) in this context
THAI_EVD_015,conj-contrast-negp-epi,na,THAI_015,felicitous,Q1,
THAI_EVD_016,conj-contrast-negp-epi,na,THAI_016,felicitous,Q1,
THAI_EVD_017,disj-spk-1,na,THAI_017,felicitous,Q1,
THAI_EVD_018,disj-spk-1,na,THAI_018,felicitous,Q1,
THAI_EVD_019,disj-spk-1,na,THAI_019,felicitous,Q1,
THAI_EVD_020,disj-spk-1,na,THAI_020,felicitous,Q1,
THAI_EVD_021,disj-spk-2,na,THAI_021,felicitous,Q1,
THAI_EVD_022,disj-spk-2,na,THAI_022,felicitous,Q1,
THAI_EVD_023,disj-nspk-epi,na,THAI_023,felicitous,Q1,
THAI_EVD_024,disj-nspk-epi,na,THAI_024,felicitous,Q1,
THAI_EVD_025,disj-nspk-sta-exc-mod,na,THAI_025,felicitous,Q1,
THAI_EVD_026,disj-nspk-sta-exc-mod,na,THAI_026,felicitous,Q1,
THAI_EVD_027,disj-nspk-sta-exc-mod,na,THAI_027,felicitous,Q1,
THAI_EVD_028,disj-nspk-sta-exc-mod,na,THAI_028,felicitous,Q1,
THAI_EVD_029,disj-nspk-sta-inc-mod,na,THAI_029,felicitous,Q1,“mai gor” not possible in this context
THAI_EVD_030,disj-nspk-sta-inc-mod,na,THAI_030,felicitous,Q1,“mai gor” not possible in this context
THAI_EVD_031,disj-nspk-epi-q-mod,na,THAI_031,felicitous,Q1,you can’t use “mai gor” in questions like this (but see Q2)
THAI_EVD_032,disj-nspk-epi-q-mod,na,THAI_032,felicitous,Q1,you can’t use “mai gor” in questions like this (but see Q2)
THAI_EVD_033,disj-nspk-sta-inc-q,na,THAI_033,felicitous,Q1,
THAI_EVD_034,disj-nspk-sta-inc-q,na,THAI_034,felicitous,Q1,
THAI_EVD_035,neither-sta,na,THAI_035,felicitous,Q1,
THAI_EVD_036,neither-epi,na,THAI_036,felicitous,Q1,
THAI_EVD_037,neither-epi,na,THAI_037,felicitous,Q1,
THAI_EVD_038,neither-epi,na,THAI_038,felicitous,Q1,
THAI_EVD_039,neither-epi,na,THAI_039,felicitous,Q1,
THAI_EVD_040,fc,na,THAI_040,felicitous,Q1,
THAI_EVD_041,fc,na,THAI_041,felicitous,Q1,
THAI_EVD_042,negative,na,THAI_042,felicitous,Q1,can’t use “or”-morphemes here
THAI_EVD_043,conj-nocontrast-sta,na,THAI_043,infelicitous,Q2,this needs a connective
THAI_EVD_044,conj-nocontrast-sta,na,THAI_044,infelicitous,Q2,this needs a connective
THAI_EVD_045,disj-spk-3,na,THAI_045,infelicitous,Q2,
THAI_EVD_046,disj-spk-3,na,THAI_046,infelicitous,Q2,
THAI_EVD_047,disj-spk-3,na,THAI_004,infelicitous,Q2,with the second one you wouldn’t use a copular
THAI_EVD_048,disj-nspk-sta-exc-2,na,THAI_045,infelicitous,Q2,
THAI_EVD_049,disj-nspk-sta-exc-2,na,THAI_046,infelicitous,Q2,
THAI_EVD_050,disj-nspk-sta-exc-2,na,THAI_004,infelicitous,Q2,
THAI_EVD_051,disj-nspk-sta-inc-2,na,THAI_045,infelicitous,Q2,would need a modal or disjunction
THAI_EVD_052,disj-nspk-sta-inc-2,na,THAI_046,infelicitous,Q2,would need a modal or disjunction
THAI_EVD_053,disj-nspk-sta-inc-2,na,THAI_004,infelicitous,Q2,would need a modal or disjunction
THAI_EVD_054,neither-sta-2,na,THAI_045,infelicitous,Q2,
THAI_EVD_055,neither-sta-2,na,THAI_046,infelicitous,Q2,
THAI_EVD_056,neither-sta-2,na,THAI_004,infelicitous,Q2,
