ref,expression,full form,words,glosses,translation,comment,questionnaire
TRK_001,hem…hem…,hem…hem…de,Susie hem doktor hem de öğretmen,Susie HEM doctor HEM ADD teacher,Susie is a doctor and she is a teacher.,"Valid in a conjunctive, no-contrast context.",Q1
TRK_002,ve,ve,Susie doktor ve öğretmen,Susie doctor VE teacher,Susie is a doctor and she is a teacher.,This is the version of the sentence without the optional pronoun.,Q1
TRK_003,ve,ve,Susie doktor ve Susie öğretmen,Susie doctor VE Susie teacher,Susie is a doctor and she is a teacher.,This is the version of the sentence with the optional pronoun.,Q1
TRK_004,∅,∅,Susie doktor . Susie öğretmen .,Susie doctor . Susie teacher .,Susie is a doctor; she is a teacher.,Juxtaposition with the explicit subject 'Susie' repeated.,Q1
TRK_005,∅,∅,Susie doktor . o öğretmen .,Susie doctor . she teacher .,Susie is a doctor; she is a teacher.,Juxtaposition with the explicit pronoun 'o'.,Q1
TRK_006,∅,∅,Susie doktor . öğretmen .,Susie doctor . teacher .,Susie is a doctor; she is a teacher.,Juxtaposition with a dropped pronoun.,Q1
TRK_007,ve,ve,Paul televizyon izliyor ve gömlek ütülüyor,Paul TV watch-pres.3sg VE shirt iron-pres.3sg,Paul is watching TV and he is ironing his shirts.,Valid in an eventive conjunctive context.,Q1
TRK_008,∅,∅,Paul televizyon izliyor . Gömlek ütülüyor .,Paul TV watch-pres.3sg . Shirt iron-pres.3sg .,Paul is watching TV; he is ironing his shirts.,Juxtaposition is possible; best with a dropped pronoun.,Q1
TRK_009,ile,ile,Wataru ile Kajsa dilbilimci,Wataru comitative Kajsa linguist,Wataru and Kajsa are linguists.,"ile' conjoins noun phrases, not predicates. ",Q1
TRK_010,ve,ve,Wataru dilbilimci ve bir baba,Wataru linguist and a father,Wataru is a linguist and a father.,"Unlike 'ile', 've' can conjoin predicates.",Q1
TRK_011,ama,ama,Susie doktor ama fakir/yoksul,Susie doctor AMA poor,Susie is a doctor but she is poor.,Version without the optional anaphor 'kendisi'.,Q1
TRK_012,ama,ama,Susie doktor ama kendisi fakir/yoksul,Susie doctor AMA (anaphor) poor,Susie is a doctor but she is poor.,Version with the optional anaphor 'kendisi'.,Q1
