ref,context,premise,example,judgment,questionnaire,comment
vie_evidence_1,conj-nocontrast-sta,na,vie_ex_1,felicitous,Q1,without “cũng” it sounds like the pronoun refers to someone else
vie_evidence_2,conj-nocontrast-sta,na,vie_ex_2,felicitous,Q1,that’s ok with “cũng”
vie_evidence_3,conj-nocontrast-epi,na,vie_ex_3,felicitous,Q1,
vie_evidence_4,conj-nocontrast-epi,na,vie_ex_4,?,Q1,"again, this gets a disjoint subjects interpretation"
vie_evidence_5,conj-contrast-sta-mod,na,vie_ex_5,felicitous,Q1,
vie_evidence_6,conj-contrast-epi,na,vie_ex_6,felicitous,Q1,lại expresses something like surprisal / contrary to expectation
vie_evidence_7,conj-contrast-negp-sta,na,vie_ex_7,felicitous,Q1,phải is also a modal (usually deontic necessity)
vie_evidence_8,conj-contrast-negp-epi,na,vie_ex_8,felicitous,Q1,
vie_evidence_9,disj-spk-1,na,vie_ex_9,felicitous,Q1,just NP disjunction would be more natural
vie_evidence_10,disj-spk-2,na,vie_ex_10,felicitous,Q1,
vie_evidence_11,disj-nspk-epi,na,vie_ex_11,felicitous,Q1,
vie_evidence_12,disj-nspk-epi,na,vie_ex_12,felicitous,Q1,
vie_evidence_13,disj-nspk-sta-exc-mod,na,vie_ex_13,felicitous,Q1,
vie_evidence_14,disj-nspk-sta-exc-mod,na,vie_ex_14,felicitous,Q1,doubling hoặc increases uncertainty
vie_evidence_15,disj-nspk-sta-inc-mod,na,vie_ex_15,felicitous,Q1,Hoặc in the part in brackets preferred
vie_evidence_16,disj-nspk-epi-q-mod,na,vie_ex_16,felicitous,Q1,
vie_evidence_17,disj-nspk-sta-inc-q,na,vie_ex_17,felicitous,Q1,
vie_evidence_18,neither-sta,na,vie_ex_18,felicitous,Q1,
vie_evidence_19,neither-epi,na,vie_ex_19,felicitous,Q1,
vie_evidence_20,fc,na,vie_ex_20,felicitous,Q1,
vie_evidence_21,negative,na,vie_ex_21,felicitous,Q1,
vie_evidence_22,conj-nocontrast-sta,na,vie_ex_2,felicitous,Q2,this is good
vie_evidence_23,conj-nocontrast-sta,na,vie_ex_22,infelicitous,Q2,
vie_evidence_24,disj-spk-3,na,vie_ex_1,infelicitous,Q2,
vie_evidence_25,disj-spk-3,na,vie_ex_23,infelicitous,Q2,
vie_evidence_26,disj-nspk-sta-exc-2,na,vie_ex_1,infelicitous,Q2,corrected to: Susie có thể là bác.sĩ và cô.ấy cũng có thể là giáo.viên
vie_evidence_27,disj-nspk-sta-exc-2,na,vie_ex_24,felicitous,Q2,"added modal ( có thể ) volunteered, otherwise it’s a bit odd"
vie_evidence_28,disj-nspk-sta-exc-2,na,vie_ex_23,infelicitous,Q2,
vie_evidence_29,disj-nspk-sta-inc-2,na,vie_ex_1,infelicitous,Q2,"corrected to: Susie có thể là bác sĩ, hoặc có thể là giáo viên, hoặc vừa là bác sĩ vừa là giáo viên"
vie_evidence_30,disj-nspk-sta-inc-2,na,vie_ex_25,felicitous,Q2,
vie_evidence_31,disj-nspk-sta-inc-2,na,vie_ex_23,infelicitous,Q2,
vie_evidence_32,neither-sta-2,na,vie_ex_1,infelicitous,Q2,
vie_evidence_33,neither-sta-2,na,vie_ex_23,infelicitous,Q2,
vie_evidence_34,conj-nocontrast-epi,na,vie_ex_4,infelicitous,Q2,odd without a connective
vie_evidence_35,disj-spk-4,na,vie_ex_3,infelicitous,Q2,This must mean that he is doing two things at the same time
