expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_041,neither,
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_040,neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"basque_evidence_030, basque_evidence_031",neither,
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"basque_evidence_005, basque_evidence_006",neither,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"basque_evidence_002, basque_evidence_025",neither,
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,basque_evidence_070,neither,
∅,∅,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_071,neither,
∅,∅,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_058, basque_evidence_059",neither,
ala,ala,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_062, basque_evidence_063",neither,
ala,ala,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"basque_evidence_060, basque_evidence_061",neither,
ala,ala,disj-nspk-epi,0,0,1,0,0,0,0,0,0,basque_evidence_072,neither,
ala,ala,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,basque_evidence_020,neither,
ala,ala,disj-nspk-q-inc,?,0,nan,1,0,0,1,0,0,basque_evidence_076,neither,
ala,ala,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,?,"basque_evidence_064, basque_evidence_068, basque_evidence_065, basque_evidence_069, basque_evidence_073",neither,Conflicting evidence found.
ala,ala,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,"basque_evidence_066, basque_evidence_067, basque_evidence_074",neither,
ala,ala,disj-spk,0,0,nan,1,0,1,0,0,1,"basque_evidence_015, basque_evidence_016, basque_evidence_014",neither,
ala,ala,fc,0,0,nan,0,0,0,0,1,1,basque_evidence_024,neither,
baina,baina,conj-contrast-epi,1,0,1,0,0,1,0,0,1,basque_evidence_009,neither,
baina,baina,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"basque_evidence_007, basque_evidence_008",neither,
baina,baina,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,"basque_evidence_034, basque_evidence_035",neither,
baina,baina,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,"basque_evidence_036, basque_evidence_037",neither,
baina,baina,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_032, basque_evidence_033",neither,
baina,baina,neither-sta,0,1,nan,1,0,0,0,0,0,"basque_evidence_038, basque_evidence_039",neither,
baizik,baizik,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_013,neither,
baizik,baizik,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_011,neither,
baizik,baizik,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_046, basque_evidence_047",neither,
baizik,baizik,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,basque_evidence_043,neither,
baizik,baizik,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_053,neither,
baizik,baizik,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_055,neither,
baizik,baizik,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_049, basque_evidence_051",neither,
baizik,baizik,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_057,neither,
baizik eta,baizik eta,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,basque_evidence_012,neither,
baizik eta,baizik eta,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,basque_evidence_010,neither,
baizik eta,baizik eta,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"basque_evidence_044, basque_evidence_045",neither,
baizik eta,baizik eta,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,basque_evidence_042,neither,
baizik eta,baizik eta,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_052,neither,
baizik eta,baizik eta,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_054,neither,
baizik eta,baizik eta,disj-spk,0,0,nan,1,0,1,0,0,0,"basque_evidence_048, basque_evidence_050",neither,
baizik eta,baizik eta,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_056,neither,
edo,edo,disj-nspk-epi,0,0,1,0,0,0,0,0,1,basque_evidence_017,neither,
edo,edo,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,basque_evidence_075,neither,
edo,edo,disj-nspk-q-inc,?,0,nan,1,0,0,1,0,1,basque_evidence_021,neither,
edo,edo,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,1,basque_evidence_018,neither,
edo,edo,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,1,basque_evidence_019,neither,
edo,edo,fc,0,0,nan,0,0,0,0,1,0,basque_evidence_077,neither,
eta,eta,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"basque_evidence_003, basque_evidence_004",neither,
eta,eta,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,basque_evidence_001,neither,
eta,eta,disj-nspk-sta-exc,0,0,nan,1,0,0,0,0,0,basque_evidence_027,neither,
eta,eta,disj-nspk-sta-inc,?,0,nan,1,0,0,0,0,0,basque_evidence_028,neither,
eta,eta,disj-spk,0,0,nan,1,0,1,0,0,0,basque_evidence_026,neither,
eta,eta,neither-sta,0,1,nan,1,0,0,0,0,0,basque_evidence_029,neither,
ez ... ezta,ez ... ezta,neither-epi,0,1,nan,0,1,0,0,0,1,basque_evidence_023,above,
ez ... ezta,ez ... ezta,neither-sta,0,1,nan,1,0,0,0,0,1,basque_evidence_022,above,
