ref,context,premise,example,judgment,questionnaire,comment
CAN_EVID_001,conj-nocontrast-sta,na,CAN_001,felicitous,Q1,
CAN_EVID_002,conj-nocontrast-sta,na,CAN_002,?,Q1,"Doesn’t sound quite right, a bit contradictory"
CAN_EVID_003,conj-nocontrast-epi,na,CAN_003,?,Q1,
CAN_EVID_004,conj-contrast-sta-mod,na,CAN_004,felicitous,Q1,
CAN_EVID_005,conj-contrast-epi,na,CAN_005,felicitous,Q1,
CAN_EVID_006,conj-contrast-negp-sta,na,CAN_006,felicitous,Q1,the first example without the connective is preferred (and was first volunteered)
CAN_EVID_007,conj-contrast-negp-sta,na,CAN_007,felicitous,Q1,the first example without the connective is preferred (and was first volunteered)
CAN_EVID_008,conj-contrast-negp-epi,na,CAN_008,felicitous,Q1,
CAN_EVID_009,disj-spk-1,na,CAN_009,felicitous,Q1,"“jat-hai” could be translated as “either”, but can be decomposed as in the glosses"
CAN_EVID_010,disj-spk-2,na,CAN_010,felicitous,Q1,full clause disjunction sounds odd in the first sentence
CAN_EVID_011,disj-spk-2,na,CAN_011,felicitous,Q1,second sentence works better if you know for sure that one of them is a doctor
CAN_EVID_012,disj-nspk-epi,na,CAN_012,felicitous,Q1,
CAN_EVID_013,disj-nspk-sta-exc-mod,na,CAN_013,felicitous,Q1,
CAN_EVID_014,disj-nspk-sta-inc-mod,na,CAN_014,felicitous,Q1,
CAN_EVID_015,disj-nspk-epi-q-mod,na,CAN_015,felicitous,Q1,“hai mai” is the interrogative form
CAN_EVID_016,disj-nspk-sta-inc-q,na,CAN_016,felicitous,Q1,Topicalising “this brand” makes it sound better
CAN_EVID_017,neither-sta,na,CAN_017,felicitous,Q1,
CAN_EVID_018,neither-sta,na,CAN_018,felicitous,Q1,
CAN_EVID_019,neither-epi,na,CAN_019,felicitous,Q1,
CAN_EVID_020,fc,na,CAN_020,felicitous,Q1,
CAN_EVID_021,negative,na,CAN_021,felicitous,Q1,
CAN_EVID_022,negative,na,CAN_022,felicitous,Q1,
CAN_EVID_023,disj-spk-3,na,CAN_001,infelicitous,Q2,
CAN_EVID_024,disj-nspk-sta-exc-2,na,CAN_001,infelicitous,Q2,This would mean that she has two jobs.
CAN_EVID_025,disj-nspk-sta-inc-2,na,CAN_001,infelicitous,Q2,see above
CAN_EVID_026,neither-sta-2,na,CAN_001,infelicitous,Q2,
CAN_EVID_027,conj-contrast-sta-mod,na,CAN_023,?,Q2,"This feels like two separate ideas, would be better with “daanhai”"
CAN_EVID_028,disj-spk-4-prime,na,CAN_004,infelicitous,Q2,The sentence asserts that Susie is a doctor
CAN_EVID_029,disj-nspk-sta-exc-3,na,CAN_004,infelicitous,Q2,see above
CAN_EVID_030,disj-nspk-sta-inc-3,na,CAN_004,infelicitous,Q2,"see above, also: the contrast isn’t there"
CAN_EVID_031,neither-sta-3,na,CAN_004,infelicitous,Q2,
CAN_EVID_032,conj-contrast-epi,na,CAN_024,felicitous,Q2,"that’s ok, but with a break between clauses (full stop more appropriate)"
CAN_EVID_033,disj-nspk-epi-exc-2,na,CAN_025,infelicitous,Q2,
CAN_EVID_034,disj-nspk-epi-inc-2,na,CAN_025,infelicitous,Q2,
CAN_EVID_035,neither-epi-2,na,CAN_025,infelicitous,Q2,
CAN_EVID_036,conj-contrast-negp-epi,na,CAN_026,felicitous,Q2,That’s ok
CAN_EVID_037,conj-nocontrast-sta,na,CAN_027,felicitous,Q2,"okay, means: Susie is a doctor while (also) being a teacher"
CAN_EVID_038,conj-contrast-sta-mod,na,CAN_028,infelicitous,Q2,
CAN_EVID_039,disj-spk-2,na,CAN_029,*,Q2,"This is not well-formed, jik wants the same subject"
CAN_EVID_040,disj-spk-2,na,CAN_030,*,Q2,"This is not well-formed, jik wants the same subject"
CAN_EVID_041,disj-nspk-sta-exc-mod,na,CAN_031,infelicitous,Q2,The sentence asserts that J. is doing both jobs
CAN_EVID_042,disj-nspk-sta-inc-mod,na,CAN_014,felicitous,Q2,"Ok, that’s possible"
CAN_EVID_043,disj-nspk-sta-inc-mod,na,CAN_031,infelicitous,Q2,"This one is not felicitous in the context, it means that John is both a doctor and a writer at the same time."
CAN_EVID_044,neither-sta,na,CAN_032,infelicitous,Q2,Would be possible if “m hai” was added to the second conjunct
CAN_EVID_045,neither-sta,na,CAN_033,infelicitous,Q2,
CAN_EVID_046,disj-spk-2,na,CAN_034,infelicitous,Q2,This would need sth. like “previously” in the second clause
CAN_EVID_047,conj-nocontrast-sta-2,na,CAN_010,infelicitous,Q2,
CAN_EVID_048,conj-nocontrast-sta-2,na,CAN_011,infelicitous,Q2,
CAN_EVID_049,conj-contrast-sta-2,na,CAN_010,infelicitous,Q2,
CAN_EVID_050,conj-contrast-sta-2,na,CAN_011,infelicitous,Q2,
CAN_EVID_051,disj-nspk-sta-exc-4,na,CAN_010,felicitous,Q2,"Possible in this context. Not perfect though, sounds more like an answer to “Which one of them is a doctor?”"
CAN_EVID_052,disj-nspk-sta-exc-4,na,CAN_011,felicitous,Q2,"Possible in this context. Not perfect though, sounds more like an answer to “Which one of them is a doctor?”"
CAN_EVID_053,disj-nspk-sta-inc-4,na,CAN_010,?,Q2,exclusive readings slightly stronger for the second sentence
CAN_EVID_054,disj-nspk-sta-inc-4,na,CAN_011,infelicitous,Q2,exclusive readings slightly stronger for the second sentence
CAN_EVID_055,disj-nspk-sta-inc-4,na,CAN_035,felicitous,Q2,Volunteered in a follow-up
CAN_EVID_056,neither-sta-4,na,CAN_010,infelicitous,Q2,
CAN_EVID_057,neither-sta-4,na,CAN_011,infelicitous,Q2,
CAN_EVID_058,disj-nspk-epi,na,CAN_036,infelicitous,Q2,The sentence means that both happened.
CAN_EVID_059,disj-nspk-sta-exc,na,CAN_037,infelicitous,Q2,
CAN_EVID_060,disj-nspk-sta-exc,na,CAN_014,felicitous,Q2,sentence is ok in the context
CAN_EVID_061,disj-nspk-epi-q,na,CAN_015,felicitous,Q2,This one is okay.
CAN_EVID_062,disj-nspk-epi-q,na,CAN_038,?,Q2,“waakze” doesn’t work so well here
CAN_EVID_063,disj-nspk-epi-q,na,CAN_039,infelicitous,Q2,This would mean on the bus and in the office
CAN_EVID_064,disj-nspk-epi-q,na,CAN_040,?,Q2,jathai … jathai is also not great in questions
