ref,expression,full_form,words,glosses,translation,comment,questionnaire
CAN_001,jau,jau,Susie hai go jisang jau hai go lousi,Susie COP CL doctor CONN COP CL teacher,Susie is a doctor and she is a teacher.,,Q1
CAN_002,∅,∅,Susie hai go jisang keoi hai go lou-si,Susie COP CL doctor 3SG COP CL teacher,Susie is a doctor; she is a teacher.,"Doesn’t sound quite right, a bit contradictory",Q1
CAN_003,∅,∅,"Paul tai-gan dinsi, keoi tong-gan saam","Paul watch-PROG TV, 3SG iron-PROG clothes",Paul is watching TV; he is ironing his shirts.,,Q1
CAN_004,daanhai,daanhai,"Susie hai go jisang, daanhai keoi mou cin","Susie COP CL doctor, CONN 3SG not.have money",Susie is a doctor but she is poor.,,Q1
CAN_005,batgwo,batgwo,Jen maai-zo syutgou batgwo keoi hai maai bei go maksang-jan ge,Jen buy-PERF ice-cream CONN 3SG COP buy give CL strange-person COMP,Jen bought ice cream but she bought it for a stranger.,,Q1
CAN_006,∅,∅,"Paul m hai go jisang, koei hai go receptionist","Paul NEG COP CL doctor, 3SG COP CL receptionist",Paul is not a doctor but he is a receptionist.,the first example without the connective is preferred (and was first volunteered),Q1
CAN_007,jik,jik,Paul m hai go jisang jik hai go receptionist,Paul NEG COP CL doctor CONN COP CL receptionist,Paul is not a doctor but he is a receptionist.,the first example without the connective is preferred (and was first volunteered),Q1
CAN_008,batgwo,batgwo,"Jen mou maai dou syutgou, batgwo keoi maai-zo zyukulik","Jen not.have buy achieve ice-cream, CONN 3SG buy-PERF chocolate",Jen didn’t buy ice cream but she bought chocolate.,,Q1
CAN_009,jat-hai,jat-hai … jat-hai,Go daapon jat-hai A jat-hai B,CL answer one-COP A one-COP B,(Either) the answer to the question is A or the answer to the question is B.,"“jat-hai” could be translated as “either”, but can be decomposed as in the glosses",Q1
CAN_010,waakze,waakze,Paul waakze John hai jisang,Paul CONN John COP doctor,(Either) Paul is a doctor or John is a doctor.,full clause disjunction sounds odd in the first sentence,Q1
CAN_011,jat-hai,jat-hai … jat-hai,Jathai Paul jathai John hai jisang,CONN Paul CONN John COP doctor,(Either) Paul is a doctor or John is a doctor.,second sentence works better if you know for sure that one of them is a doctor,Q1
CAN_012,jat-hai,jat-hai … jat-hai,Ngo jathai lau-zo go dinwaa hai gongsi jathai faan ukkei ge sihau dit-zo,1SG CONN leave-PERF CL phone LOC office CONN return home COMP time drop-PERF,I left my phone at work or I dropped it on my way home.,,Q1
