ref,expression,full_form,words,glosses,translation,comment,questionnaire
GR-001,kai,kai,I Susie einai giatros kai einai daskala,Det Susie is doctor conj is teacher,Susie is a doctor and she is a teacher.,,Q1
GR-002,kai,kai,I Susie einai giatros kai daskala,Det Susie is doctor conj teacher,Susie is a doctor and a teacher.,The sentence may be felicitous if it is embedded under “I guess” or I think,Q2
GR-003,∅,∅,I Susie einai giatros ; einai daskala .,Det Susie is doctor is teacher,Susie is a doctor; she is a teacher.,"it’s possible (but it’s not totally ok, the subject of 2nd sentence could be understood as another person). Needs list-like intonation. Preferable to use a connective. In general the juxtaposition case is dispreferred.",Q1/Q2
GR-004,kai,kai,O Paul vlepi tileorasi kai sideroni ta pukamisa tu.,Det Paul watch TV conj iron Det shirt his,Paul is watching TV and he is ironing his shirts.,,Q1
GR-005,∅,∅,O Paul vlepi tileorasi; sideroni ta pukamisa tu.,Det Paul watch TV iron Det shirt his,Paul is watching TV; he is ironing his shirts.,,Q1
GR-006,alla,alla,I Susie einai giatros alla einai ftohi.,Det Susie is doctor disj is poor,Susie is a doctor but she is poor.,,Q1
GR-007,omos,omos,I Susie einai giatros omos einai ftohi.,Det Susie is doctor disj is poor,Susie is a doctor but she is poor.,,Q1
GR-008,∅,∅,I Susie einai giatros; einai ftohi.,Det Susie is doctor is poor,Susie is a doctor; she is poor.,"Again, the juxtaposition is not perfect. It would be more natural in a sequence with explicit contrast. A pause after 'giatros' is preferable.",Q2
GR-009,∅,∅,Dhen eine oloi oi giatroi plousioi. I Susie einai giatros; einai ftohi,Not is all det doctor wealthy. Det Susie is doctor; is poor,Not all doctors are wealthy. Susie is a doctor; she is poor.,,Q2
GR-010,alla,alla,"I Jen agorase pagoto, alla to agorase gia enan agnosto.","Det Jen bought ice.cream, disj it bought for a stranger",Jen bought ice cream but she bought it for a stranger.,,Q1
GR-011,omos,omos,"I Jen agorase pagoto, omos to agorase gia enan agnosto.","Det Jen bought ice.cream, disj it bought for a stranger",Jen bought ice cream but she bought it for a stranger.,,Q1
GR-012,alla,alla,"O Paul dhen einai giatros, alla einai receptionist.","Det Paul Neg is doctor, but is receptionist",Paul is not a doctor but he is a receptionist.,omos' is not acceptable in this context.,Q1
GR-013,alla,alla,"O Paul dhen einai giatros, alla receptionist.","Det Paul Neg is doctor, but receptionist",Paul is not a doctor but he is a receptionist.,omos' is not acceptable in this context.,Q1
GR-014,∅,∅,"O Paul dhen einai giatros, einai receptionist.","Det Paul Neg is doctor, is receptionist",Paul is not a doctor but he is a receptionist.,,Q1
GR-015,alla,alla,"I Jen dhen agorase pagoto, alla agorase sokolata.",Det Jen neg bought ice.cream but bought chocolate,Jen didn’t buy ice cream but she bought chocolate.,,Q1
GR-016,omos,omos,"I Jen dhen agorase pagoto, omos agorase sokolata.",Det Jen neg bought ice.cream but bought chocolate,Jen didn’t buy ice cream but she bought chocolate.,,Q1
GR-017,‘i,‘i,I apandisi stin erotisi einai A ‘i i apandisi stin erotisi einai B.,the answer of.det question is A conj the answer of.det question is B,(Either) the answer to the question is A or the answer to the question is B.,,Q1
GR-018,ite,ite … ite …,Ite i apandisi stin erotisi einai A ite i apandisi stin erotisi einai B .,either the answer of.det question is A or the answer of.det question is B,(Either) the answer to the question is A or the answer to the question is B.,like ‘either…or…’ in English,Q1
GR-019,ite,ite … ite …,Ite o Paul einai giatros ite o John einai giatros,either det Paul is doctor or det John is doctor,(Either) Paul is a doctor or John is a doctor.,"Standalone, the sentence is infelicitous. However, with a continuation like “actually both of them are”, there is a slight contrast.",Q1/Q2
GR-020,‘i,‘i,O Paul einai giatros ‘i o John einai giatros,det Paul is doctor or det John is doctor,(Either) Paul is a doctor or John is a doctor.,"Standalone, the sentence is infelicitous. With a continuation, it is felicitous, and with '‘i' it sounds more appropriate. Continuation: Vasika, kai oi dio einai giatroi (Actually, both are doctors).",Q1/Q2
GR-021,∅,∅,O Paul einai giatros; o John einai giatros,det Paul is doctor det John is doctor,Paul is a doctor; John is a doctor.,,Q2
GR-022,‘i,‘i,Afis-a to kinito mu stin dhulia ‘i mu epese ston dromo gia to spiti .,left-1sg det phone 1sg.gen at.det work or 1sg.gen fell to.det road for det home,I left my phone at work or I dropped it on my way home.,,Q1
GR-023,∅,∅,Afis-a to kinito mu stin dhulia ; mu epese ston dromo gia to spiti .,left-1sg det phone 1sg.gen at.det work ; 1sg.gen fell to.det road for det home,I left my phone at work; I dropped it on my way home.,,Q2
