ref,expression,full form,words,gloss,translation,comment,questionnaire
hausa-con-1,kuma,kuma,Susie likita ce kuma Malama ce,Susie doctor cop CONN teacher.f cop,Susie is a doctor and she is a teacher,,1
hausa-con-1b,juxtaposition,juxtaposition,Susie likita ce; Malama ce,,Susie is a doctor; she is a teacher,,1
hausa-con-2,kuma,kuma,Paul yana 		kallon TV kuma yana 	goge rigar sa,Paul 3sg.m.ipfv	watch TV CONN 3sg.m.ipfv iron shirt his,Paul is watching TV and he is ironing his shirts,,1
hausa-con-2b ,juxtaposition,juxtaposition,Paul yana kallon TV; yana goge rigar sa,,Paul is watching TV; he is ironing his shirts,,1
hausa-con-3,amma,amma,Susie likita ce amma talaka ce,Susie doctor cop CONN poor cop,Susie is a doctor but she is poor,,1
hausa-con-4,amma,amma,Jen ta 	siyo ice cream amma baƙo ta siyo wa,Jen 3sg.f.pfv	buy ice cream CONN stranger 3sg.f.pfv buy for,Jen bought ice cream but she bought it for a stranger,,1
hausa-con-5,amma,amma,Paul ba likita ba-ne amma kilaki ne,Paul neg doctor neg-cop CONN clerk cop,Paul is not a doctor but he is a receptionist,,1
hausa-con-6,amma,amma,Jen ba-ta 	siyo ice cream ba amma ta siyo cakuleti,Jen neg-3sg.f.pfv buy ice cream neg CONN 3sg.f.pfv buy chocolate,Jen didn’t buy ice cream but she bought chocolate,,1
hausa-con-7,ko,ko-dai ... ko kuma ...,Ko-dai        amsar tambayar A ce ko kuma amsar tambayar B ce,Either 	answer question A cop 	CONN		answer question B cop,(Either) the answer to the question is A or the answer to the question is B.,,1
hausa-con-7b,ko,ko-dai ... ko ...,Ko-dai        amsar tambayar A ce ko amsar tambayar B ce,,,,
hausa-con-8,ko,ko-dai ... ko kuma ...,Ko-dai Paul ne likita ko kuma John ne likita.,Either Paul cop doctor CONN John cop doctor,(Either) Paul is a doctor or John is a doctor. ,,1
hausa-con-8b,ko,ko-dai ... ko ...,Ko-dai Paul ne likita ko John ne likita.,,,,1
hausa-con-9,ko,ko kuma,Na                 bar         waya ta         a wajen aiki ko kuma na         yar         da ita         a hanyar zuwa gida,1sg.pfv         leave phone my        at          work CONN 1sg.pfv lose         it          on way   going home,I left my phone at work or I dropped it on my way home.,,1
hausa-con-10,ko,ko kuma,John likita ne ko kuma marubuci ne,John doctor cop CONN writer cop,John is a doctor or he is a writer.,,1
