ref,context,premise,example,judgment,questionnaire,comment
jp_ev_001,conj-nocontrast-sta,na,jp_001,felicitous,Q1,
jp_ev_002,conj-nocontrast-sta,na,jp_002,felicitous,Q1,
jp_ev_003,conj-nocontrast-sta,na,jp_003,felicitous,Q1,
jp_ev_004,conj-nocontrast-sta,na,jp_004,felicitous,Q1,
jp_ev_005,conj-nocontrast-sta,na,jp_005,felicitous,Q1,
jp_ev_006,conj-nocontrast-epi,na,jp_006,felicitous,Q1,
jp_ev_007,conj-nocontrast-epi,na,jp_007,felicitous,Q1,
jp_ev_008,conj-contrast-sta,na,jp_008,felicitous,Q1,
jp_ev_009,conj-contrast-sta,na,jp_009,felicitous,Q1,
jp_ev_010,conj-contrast-sta,na,jp_010,felicitous,Q1,
jp_ev_011,conj-contrast-sta,na,jp_011,felicitous,Q1,
jp_ev_012,conj-contrast-epi,na,jp_012,felicitous,Q1,
jp_ev_013,conj-contrast-epi,na,jp_013,felicitous,Q1,
jp_ev_014,conj-contrast-epi,na,jp_014,felicitous,Q1,
jp_ev_015,conj-contrast-epi,na,jp_015,felicitous,Q1,
jp_ev_016,conj-contrast-negp-sta,na,jp_016,felicitous,Q1,
jp_ev_017,conj-contrast-negp-epi,na,jp_017,felicitous,Q1,
jp_ev_018,disj-spk-1,na,jp_018,felicitous,Q1,
jp_ev_019,disj-spk-1,na,jp_019,felicitous,Q1,
jp_ev_020,disj-spk-1,na,jp_020,felicitous,Q1,
jp_ev_021,disj-spk-1,na,jp_021,felicitous,Q1,
jp_ev_022,disj-spk-2,na,jp_022,felicitous,Q1,
jp_ev_023,disj-spk-2,na,jp_023,felicitous,Q1,
jp_ev_024,disj-spk-2,na,jp_024,felicitous,Q1,
jp_ev_025,disj-spk-2,na,jp_025,felicitous,Q1,
jp_ev_026,disj-nspk-epi,na,jp_026,felicitous,Q1,
jp_ev_027,disj-nspk-epi,na,jp_027,felicitous,Q1,
jp_ev_028,disj-nspk-sta-exc,na,jp_028,felicitous,Q1,
jp_ev_029,disj-nspk-sta-exc,na,jp_029,felicitous,Q1,
jp_ev_030,disj-nspk-sta-exc,na,jp_030,felicitous,Q1,
jp_ev_031,disj-nspk-sta-exc,na,jp_031,felicitous,Q1,
jp_ev_032,disj-nspk-epi-q,na,jp_032,felicitous,Q1,
jp_ev_033,disj-nspk-epi-q,na,jp_033,felicitous,Q1,
jp_ev_034,disj-nspk-sta-inc-q,na,jp_034,felicitous,Q1,
jp_ev_035,disj-nspk-sta-inc-q,na,jp_035,felicitous,Q1,
jp_ev_036,neither-sta,na,jp_036,felicitous,Q1,
jp_ev_037,neither-sta,na,jp_037,felicitous,Q1,
jp_ev_038,neither-sta,na,jp_038,felicitous,Q1,
jp_ev_039,neither-epi,na,jp_039,felicitous,Q1,
jp_ev_040,neither-epi,na,jp_040,felicitous,Q1,
jp_ev_041,neither-epi,na,jp_041,??,Q1,
jp_ev_042,conj-contrast-sta-4,na,jp_001,felicitous,Q2,
jp_ev_043,conj-contrast-sta-4,na,jp_002,felicitous,Q2,
jp_ev_044,conj-contrast-sta-4,na,jp_003,felicitous,Q2,
jp_ev_045,conj-contrast-sta-4,na,jp_004,felicitous,Q2,
jp_ev_046,conj-contrast-sta-4,na,jp_005,felicitous,Q2,
jp_ev_047,disj-spk-3,na,jp_001,infelicitous,Q2,
jp_ev_048,disj-spk-3,na,jp_002,infelicitous,Q2,
jp_ev_049,disj-spk-3,na,jp_003,infelicitous,Q2,
jp_ev_050,disj-spk-3,na,jp_004,infelicitous,Q2,
jp_ev_051,disj-spk-3,na,jp_005,infelicitous,Q2,
jp_ev_052,disj-nspk-sta-exc-2,na,jp_001,infelicitous,Q2,
jp_ev_053,disj-nspk-sta-exc-2,na,jp_002,infelicitous,Q2,
jp_ev_054,disj-nspk-sta-exc-2,na,jp_003,infelicitous,Q2,
jp_ev_055,disj-nspk-sta-exc-2,na,jp_004,infelicitous,Q2,
jp_ev_056,disj-nspk-sta-exc-2,na,jp_005,infelicitous,Q2,
jp_ev_057,neither-sta-2,na,jp_001,infelicitous,Q2,
jp_ev_058,neither-sta-2,na,jp_002,infelicitous,Q2,
jp_ev_059,neither-sta-2,na,jp_003,infelicitous,Q2,
jp_ev_060,neither-sta-2,na,jp_004,infelicitous,Q2,
jp_ev_061,neither-sta-2,na,jp_005,infelicitous,Q2,
jp_ev_062,conj-contrast-epi-2,na,jp_006,felicitous,Q2,
jp_ev_063,conj-contrast-epi-2,na,jp_007,felicitous,Q2,
jp_ev_064,disj-spk-4,na,jp_006,infelicitous,Q2,
jp_ev_065,disj-spk-4,na,jp_007,infelicitous,Q2,
jp_ev_066,disj-nspk-epi-exc-2,na,jp_006,infelicitous,Q2,
