ref,context,premise,example,judgment,questionnaire,comment
mapudungun-ev-1,conj-nocontrast-sta,na,mapudungun-con-1,felicitous,1,
mapudungun-ev-2,conj-nocontrast-sta,na,mapudungun-con-1b,felicitous,1,
mapudungun-ev-3,conj-nocontrast-sta,na,mapudungun-con-1c,felicitous,1,
mapudungun-ev-4,conj-nocontrast-epi,na,mapudungun-con-2,felicitous,1,
mapudungun-ev-5,conj-nocontrast-epi,na,mapudungun-con-2b,felicitous,1,
mapudungun-ev-6,conj-contrast-sta-mod,na,mapudungun-con-3,felicitous,1,
mapudungun-ev-7,conj-contrast-sta-mod,na,mapudungun-con-3b,felicitous,1,
mapudungun-ev-8,conj-contrast-epi,na,mapudungun-con-4,felicitous,1,
mapudungun-ev-9,conj-contrast-epi,na,mapudungun-con-4b,felicitous,1,
mapudungun-ev-10,conj-contrast-epi,na,mapudungun-con-4c,felicitous,1,
mapudungun-ev-11,conj-contrast-epi,na,mapudungun-con-4d,felicitous,1,
mapudungun-ev-12,conj-contrast-negp-sta,na,mapudungun-con-5,felicitous,1,
mapudungun-ev-13,disj-spk-1,na,mapudungun-con-6,felicitous,1,
mapudungun-ev-14,disj-spk-2,na,mapudungun-con-7,felicitous,1,
mapudungun-ev-15,disj-nspk-epi,na,mapudungun-con-8,felicitous,1,
mapudungun-ev-16,disj-nspk-epi,na,mapudungun-con-8b,felicitous,1,
mapudungun-ev-17,disj-nspk-sta-exc-mod,na,mapudungun-con-9,felicitous,1,
mapudungun-ev-18,disj-nspk-sta-inc-mod,na,mapudungun-con-10,felicitous,1,
mapudungun-ev-19,disj-nspk-epi-q-mod,na,mapudungun-con-11,felicitous,1,
mapudungun-ev-20,disj-nspk-sta-inc-q,na,mapudungun-con-12,felicitous,1,
mapudungun-ev-21,neither-sta,na,mapudungun-con-13,felicitous,1,
mapudungun-ev-22,neither-epi,na,mapudungun-con-14,felicitous,1,
mapudungun-ev-23,fc,na,mapudungun-con-15,felicitous,1,
mapudungun-ev-24,negative,na,mapudungun-con-16,felicitous,1,
