expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ka,ka,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"mapudungun-ev-1,mapudungun-ev-2",neither,
ka,ka,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"mapudungun-ev-4,mapudungun-ev-5",neither,
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,mapudungun-ev-3,n/a,
welu,welu,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"mapudungun-ev-6,mapudungun-ev-7",neither,
welu,welu,conj-contrast-epi,1,0,1,0,0,1,0,0,1,"mapudungun-ev-8,mapudungun-ev-9,mapudungun-ev-10,mapudungun-ev-11",neither,
re,re,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,mapudungun-ev-12,neither,
kam,kam,disj-spk,0,0,,1,0,1,0,0,1,"mapudungun-ev-13,mapudungun-ev-14",neither,
kam,kam,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"mapudungun-ev-15,mapudungun-ev-16",neither,
kam,kam,disj-nspk-sta,0,0,,1,0,0,0,0,1,mapudungun-ev-17,neither,
kam,kam,disj-nspk-inc,?,0,,1,0,0,0,0,1,mapudungun-ev-18,neither,
kam,kam,disj-nspk-q,0,0,1,0,0,0,1,0,1,"mapudungun-ev-19,mapudungun-ev-20",neither,
kam,kam,fc,0,0,,0,0,0,0,1,1,mapudungun-ev-23,neither,
ka,rüme ka,neither-sta,0,1,,1,0,0,0,0,1,mapudungun-ev-21,below,
ka,rüme ka,neither-epi,0,1,,0,1,0,0,0,1,mapudungun-ev-22,below,
ka,rüme ka,negative,0,1,,1,,0,0,0,1,mapudungun-ev-24,below,
