ref,context,premise,example,judgment,questionnaire,comment
tagalog-ev-1,conj-nocontrast-sta,na,tagalog-con-1,felicitous,1,
tagalog-ev-2,conj-nocontrast-sta,na,tagalog-con-2,felicitous,1,
tagalog-ev-3,conj-nocontrast-epi,na,tagalog-con-3,felicitous,1,
tagalog-ev-4,conj-nocontrast-epi,na,tagalog-con-4,felicitous,1,
tagalog-ev-5,conj-contrast-sta-mod,na,tagalog-con-5,felicitous,1,
tagalog-ev-6,conj-contrast-epi,na,tagalog-con-6,felicitous,1,
tagalog-ev-7,conj-contrast-negp-sta,na,tagalog-con-7,felicitous,1,
tagalog-ev-8,conj-contrast-negp-sta,na,tagalog-con-8,felicitous,1,
tagalog-ev-9,conj-contrast-negp-epi,na,tagalog-con-9,felicitous,1,
tagalog-ev-10,conj-contrast-negp-epi,na,tagalog-con-10,felicitous,1,
tagalog-ev-11,disj-spk-1,na,tagalog-con-11,felicitous,1,
tagalog-ev-12,disj-spk-2,na,tagalog-con-12,felicitous,1,
tagalog-ev-13,disj-nspk-epi,na,tagalog-con-13,felicitous,1,
tagalog-ev-14,disj-nspk-sta-exc-mod,na,tagalog-con-14,felicitous,1,
tagalog-ev-15,disj-nspk-sta-inc-mod,na,tagalog-con-15,felicitous,1,
tagalog-ev-16,disj-nspk-epi-q-mod,na,tagalog-con-16,felicitous,1,
tagalog-ev-17,disj-nspk-sta-inc-q,na,tagalog-con-17,felicitous,1,(if the speaker assumes that the addressee knows the answer)
tagalog-ev-18,disj-nspk-sta-inc-q,na,tagalog-con-18,felicitous,1,(if it is not certain that the addressee knows the answer)
tagalog-ev-19,neither-sta,na,tagalog-con-19,felicitous,1,
tagalog-ev-20,neither-sta,na,tagalog-con-20,felicitous,1,(with a dismissive connotation “he’s not even a nurse”)
tagalog-ev-21,neither-epi,na,tagalog-con-21,felicitous,1,
tagalog-ev-22,neither-epi,na,tagalog-con-22,felicitous,1,
tagalog-ev-23,fc,na,tagalog-con-23,felicitous,1,
tagalog-ev-24,conj-nocontrast-sta,na,tagalog-con-24,infelicitous,2,
tagalog-ev-25,conj-nocontrast-sta,na,tagalog-con-2,infelicitous,2,
tagalog-ev-26,conj-nocontrast-sta,na,tagalog-con-25,??,2,
tagalog-ev-27,conj-nocontrast-sta,na,tagalog-con-1,??,2,
tagalog-ev-28,conj-nocontrast-sta,na,tagalog-con-26,felicitous,2,
tagalog-ev-29,conj-nocontrast-sta,na,tagalog-con-27,felicitous,2,
tagalog-ev-30,disj-spk-3,na,tagalog-con-27,infelicitous,2,
tagalog-ev-31,disj-nspk-sta-exc-2,na,tagalog-con-27,infelicitous,2,
tagalog-ev-32,disj-nspk-sta-inc-2,na,tagalog-con-27,infelicitous,2,
tagalog-ev-33,neither-sta-2,na,tagalog-con-27,infelicitous,2,
tagalog-ev-34,conj-contrast-sta-mod,na,tagalog-con-28,infelicitous,2,
tagalog-ev-35,disj-spk-4-prime,na,tagalog-con-5,infelicitous,2,
tagalog-ev-36,disj-nspk-sta-exc-3,na,tagalog-con-5,infelicitous,2,
tagalog-ev-37,disj-nspk-sta-inc-3,na,tagalog-con-5,infelicitous,2,
tagalog-ev-38,neither-sta-3,na,tagalog-con-5,infelicitous,2,
tagalog-ev-39,conj-contrast-negp-sta,na,tagalog-con-29,felicitous,2,
tagalog-ev-40,conj-nocontrast-sta,na,tagalog-con-30,felicitous,2,
tagalog-ev-41,conj-nocontrast-sta,na,tagalog-con-31,infelicitous,2,"Comment: The second sentence indicates that she has a doctor's licence but she is not a practising doctor, and is only teaching at a college."
tagalog-ev-42,conj-contrast-sta-mod,na,tagalog-con-32,felicitous,2,
tagalog-ev-43,disj-spk-2,na,tagalog-con-33,infelicitous,2,
tagalog-ev-44,disj-nspk-sta-exc-mod,na,tagalog-con-34,infelicitous,2,
tagalog-ev-45,disj-nspk-sta-inc-mod,na,tagalog-con-34,infelicitous,2,
tagalog-ev-46,neither-sta,na,tagalog-con-35,infelicitous,2,
tagalog-ev-47,disj-spk-2,na,tagalog-con-36,infelicitous,2,
tagalog-ev-48,conj-nocontrast-sta-2,na,tagalog-con-12,infelicitous,2,
tagalog-ev-49,conj-contrast-sta-2,na,tagalog-con-12,infelicitous,2,
tagalog-ev-50,disj-nspk-sta-exc-4,na,tagalog-con-12,felicitous,2,
tagalog-ev-51,disj-nspk-sta-inc-4,na,tagalog-con-12,infelicitous,2,
tagalog-ev-52,disj-nspk-sta-inc-4,na,tagalog-con-37,felicitous,2,
tagalog-ev-53,neither-sta-4,na,tagalog-con-12,infelicitous,2,
tagalog-ev-54,neither-sta,na,tagalog-con-20,felicitous,2,
tagalog-ev-55,neither-sta,na,tagalog-con-38,infelicitous,2,Comment: here it is not possible to drop  hindi  from the second clause.
tagalog-ev-56,neither-sta,na,tagalog-con-39,felicitous,2,
tagalog-ev-57,neither-sta,na,tagalog-con-40,felicitous,2,
